Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정우람,3,3,3,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,12,3.95,1.06,0.311
 문승원,6,6,4,0,2,1,0,0,3,2,2,0,0,0,0,0,0,0.500,0.667,0.750,1.417,26,1.18,2.46,0.302
 임찬규,3,3,2,2,2,1,0,1,6,4,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,9,1.13,3.64,0.301
 스트레일리,5,5,4,1,2,2,0,0,4,2,1,0,0,1,0,0,0,0.500,0.600,1.000,1.600,27,0.92,2.60,0.203
 김상수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,7.15,0.72,0.202
 쿠에바스,9,8,7,2,2,0,0,2,8,4,1,0,0,0,0,1,0,0.286,0.375,1.143,1.518,26,0.70,2.64,0.139
 문용익,2,2,1,0,1,1,0,0,2,3,0,1,0,0,0,0,0,1.000,1.000,2.000,3.000,7,1.86,2.29,0.138
 김범수,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,8,2.10,0.76,0.132
 함덕주,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,1.28,1.00,0.104
 박민호,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,8,1.22,1.12,0.098
 김윤수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.16,0.40,0.087
 폰트,3,3,3,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,9,1.27,1.25,0.087
 박진형,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,2.32,0.40,0.082
 김윤식,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.71,0.78,0.081
 배재준,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,0.52,-0.18,0.073
 박진태,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,1.54,0.40,0.059
 김정빈,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,6,1.71,0.47,0.057
 유희관,3,3,2,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0.500,0.667,1.000,1.667,6,0.57,0.45,0.045
 전상현,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,13,0.54,0.69,0.041
 진해수,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.99,0.71,0.035
 이영하,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.43,0.68,0.034
 이승관,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.80,0.58,0.030
 뷰캐넌,6,6,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,21,1.08,0.19,0.028
 강재민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.60,0.31,0.026
 김민수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,10,0.98,0.12,0.025
 조제영,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.40,-0.12,0.020
 심창민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.40,0.39,0.019
 유원상,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.49,0.29,0.018
