Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 원종현,4,4,3,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,15,2.91,1.29,0.550
 조영우,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,2.19,1.76,0.318
 서진용,2,2,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,3.12,0.86,0.239
 김영규,3,3,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,7,0.62,1.10,0.142
 한승혁,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.07,1.31,0.122
 나균안,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.71,0.89,0.096
 데스파이네,6,6,6,1,3,1,0,0,4,0,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,22,1.09,0.62,0.088
 프랑코,10,10,9,3,5,0,0,0,5,1,1,0,0,0,0,0,0,0.556,0.600,0.556,1.156,37,0.81,1.37,0.081
 김기중,4,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,16,1.24,0.63,0.078
 최준용,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.66,0.71,0.076
 엄상백,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.03,0.57,0.062
 이영하,3,2,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0.500,0.500,0.500,1.000,9,0.87,0.43,0.061
 이건욱,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,5,1.06,0.89,0.059
 임창민,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.92,0.75,0.058
 박민호,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.25,0.29,0.049
 김종수,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,0.72,0.53,0.048
 장현식,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,2.24,0.53,0.045
 김동혁,4,4,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,16,0.58,0.70,0.043
 박정수,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.53,0.42,0.036
 함덕주,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.94,0.12,0.028
 신정락,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.34,1.40,0.025
 유희관,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.62,0.40,0.024
 박치국,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.49,0.40,0.024
 김태훈,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.32,0.15,0.022
 김명신,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.12,0.49,0.022
 차명진,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,1.03,0.20,0.022
 멩덴,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,0.61,0.18,0.022
 한현희,8,8,8,2,3,1,0,0,4,1,0,0,0,1,0,0,0,0.375,0.375,0.500,0.875,28,0.86,-0.29,0.021
 김도규,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.30,0.36,0.021
 김현수,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.83,0.50,0.021
 브룩스,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,13,1.58,-0.07,0.019
 주권,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.50,0.29,0.017
 하재훈,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.40,0.40,0.015
 이상동,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,2,1.29,-0.30,0.014
 김성진,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,19,0.36,0.90,0.014
 김건우,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.43,0.12,0.013
 이준영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.42,0.41,0.011
 윤중현,5,5,4,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,14,0.58,-0.41,0.011
 이보근,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.31,0.29,0.011
 곽빈,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.50,0.30,0.011
 김윤식,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.26,0.40,0.010
 문승원,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,4,0.50,0.56,0.010
 장원준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.26,0.40,0.010
 신재영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.19,0.39,0.007
 김재열,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.18,0.71,0.007
 서덕원,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,13,0.05,1.23,0.006
 루친스키,5,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,17,1.18,0.36,0.006
 정성종,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,0.14,0.50,0.005
 배제성,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,12,0.42,0.15,0.004
 홍건희,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.16,0.12,0.004
 송재영,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.08,0.20,0.004
 박진태,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.21,-0.34,0.004
 김재윤,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.21,0.36,0.003
 조상우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.05,0.12,0.002
 이채호,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.02,0.18,0.001
 김인범,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.03,0.40,0.001
 윤명준,4,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.01,0.24,0.001
 강지광,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,0.01,1.00,0.000
 이용준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.01,0.25,0.000
 박진형,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.02,-0.22,0.000
 오현택,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.01,0.42,0.000
 김진욱,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.01,0.12,0.000
 이승관,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.24,0.000
 유원상,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.11,0.000
 이정용,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.01,0.89,0.000
 이인복,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.01,-0.36,0.000
 킹험,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,3,1.21,-0.18,-0.001
 류진욱,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.02,-0.48,-0.001
 서준원,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.06,-0.11,-0.002
 박승주,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.06,-0.26,-0.002
 김유신,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.52,-0.07,-0.002
 손정욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.10,-0.26,-0.003
 이충호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.11,-0.26,-0.003
 진해수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.13,-0.19,-0.003
 양현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,4,0.45,-0.17,-0.004
 서동민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.15,-0.22,-0.004
 오동욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.18,-0.36,-0.004
 이의리,7,6,6,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0.333,0.333,0.333,0.666,25,1.26,0.04,-0.005
 박시영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.28,0.06,-0.005
 최성훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.21,-0.26,-0.005
 박주성,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.11,-0.81,-0.006
 윤호솔,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.37,-0.19,-0.009
 유재유,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.37,-0.46,-0.010
 김진성,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.53,-0.17,-0.010
