Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이영하,4,4,3,1,2,1,0,1,6,4,1,0,0,1,0,0,0,0.667,0.750,2.000,2.750,14,0.89,3.48,0.271
 최원준,2,2,2,1,2,2,0,0,4,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,1.40,2.34,0.227
 정우영,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.98,1.00,0.183
 정해영,3,3,2,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0.500,0.667,1.000,1.667,14,2.83,0.77,0.182
 강태경,5,5,5,0,3,1,0,0,4,2,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,13,1.34,1.51,0.179
 고우석,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,17,0.97,0.45,0.156
 몽고메리,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,2.41,0.50,0.152
 서준원,4,4,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,17,1.41,1.85,0.139
 서진용,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,1.01,0.51,0.125
 홍성민,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.28,-0.17,0.110
 곽빈,5,5,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0.000,0.400,0.000,0.400,29,1.15,0.75,0.108
 정찬헌,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,10,1.14,0.92,0.107
 최원태,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,0.61,0.70,0.100
 이준영,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,7,0.66,0.42,0.096
 장재영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.90,0.46,0.085
 김대우,2,2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.77,0.95,0.082
 소형준,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.89,0.68,0.078
 이상민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.26,0.40,0.074
 안우진,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,19,0.61,0.70,0.067
 김도규,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.94,0.21,0.067
