Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 켈리,14,14,13,2,7,0,0,0,7,4,1,0,0,3,1,0,0,0.538,0.571,0.538,1.109,46,1.06,2.21,0.286
 파슨스,15,15,13,4,6,0,0,0,6,0,2,0,0,2,0,0,0,0.462,0.533,0.462,0.995,61,1.02,2.55,0.285
 구승민,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.66,0.74,0.228
 루친스키,9,9,9,1,5,0,0,0,5,3,0,0,0,3,0,0,0,0.556,0.556,0.556,1.112,38,1.24,1.97,0.225
 정해영,3,3,3,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,19,2.36,-1.25,0.221
 가빌리오,6,6,6,3,3,0,0,0,3,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,22,0.75,2.46,0.202
 강동연,3,3,2,2,1,1,0,0,2,2,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,10,1.40,2.00,0.176
 주권,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,2.12,1.00,0.159
 임현준,2,2,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,5,0.86,1.24,0.148
 김유신,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,0.89,1.72,0.145
 이현승,3,3,3,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.333,0.333,0.333,0.666,12,2.91,-1.12,0.143
 허윤동,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,1.07,1.45,0.142
 라이블리,3,3,3,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,17,1.56,1.13,0.141
 원태인,6,6,4,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0.500,0.667,0.500,1.167,29,0.89,1.47,0.140
 김진욱,8,8,6,3,3,1,0,0,4,1,1,1,0,0,0,0,0,0.500,0.625,0.667,1.292,31,1.14,2.10,0.139
 전상현,2,2,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.76,1.24,0.133
 정수민,3,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,15,1.83,1.03,0.130
 스트레일리,12,12,12,2,6,1,0,0,7,3,0,0,0,3,0,0,0,0.500,0.500,0.583,1.083,44,0.76,2.57,0.117
 최원준,10,10,9,2,5,1,0,0,6,2,0,0,0,2,0,0,1,0.556,0.500,0.667,1.167,37,0.65,0.87,0.117
 김영규,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.08,1.29,0.105
 김민규,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.76,0.69,0.103
 로켓,9,9,8,0,3,0,0,0,3,1,1,0,0,2,0,0,0,0.375,0.444,0.375,0.819,41,0.98,0.61,0.101
 임기영,5,5,5,1,3,1,0,0,4,0,0,0,0,2,0,0,0,0.600,0.600,0.800,1.400,26,0.85,0.87,0.093
