Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 구승민,2,2,1,1,1,0,0,1,4,3,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,2.30,2.29,0.437
 쿠에바스,7,7,7,1,4,1,0,0,5,3,0,0,0,3,0,0,0,0.571,0.571,0.714,1.285,17,1.39,3.60,0.419
 켈리,13,13,11,2,3,0,0,1,6,4,2,0,0,2,0,0,0,0.273,0.385,0.545,0.930,48,1.28,1.83,0.329
 이준영,3,3,3,2,2,1,0,0,3,2,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,10,1.98,1.74,0.258
 최민준,11,11,9,2,5,1,0,1,9,2,1,1,0,1,1,0,0,0.556,0.636,1.000,1.636,36,0.92,2.64,0.255
 이태양,9,9,8,3,5,0,0,2,11,3,1,0,0,0,0,0,0,0.625,0.667,1.375,2.042,24,0.78,3.89,0.255
 최준용,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,7,1.23,1.01,0.243
 최원준,15,15,13,4,5,0,0,4,17,4,1,1,0,4,0,0,0,0.385,0.467,1.308,1.775,66,0.68,3.65,0.233
 이민우,5,5,5,0,3,1,0,0,4,2,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,20,0.91,2.53,0.206
 손주영,5,5,4,1,2,0,0,1,5,2,1,0,0,0,0,0,0,0.500,0.600,1.250,1.850,14,0.65,0.85,0.204
 미란다,14,14,14,3,4,1,0,1,8,5,0,0,0,3,0,0,0,0.286,0.286,0.571,0.857,54,1.32,1.36,0.199
 김태훈,4,4,4,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,12,1.11,0.85,0.195
 폰트,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,10,0.77,1.94,0.184
 윤대경,3,3,3,1,2,1,0,1,6,2,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,9,0.58,1.64,0.180
 고영표,10,10,10,1,3,0,0,0,3,2,0,0,0,5,0,0,0,0.300,0.300,0.300,0.600,39,1.12,0.50,0.154
 고영창,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,4.11,1.00,0.153
