Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 오승환,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,2.76,1.00,0.327
 최원준,9,9,9,2,5,1,0,0,6,1,0,0,0,0,0,0,0,0.556,0.556,0.667,1.223,39,1.14,2.22,0.256
 수아레즈,4,4,4,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,8,1.34,1.66,0.239
 홍건희,5,5,5,1,2,1,0,0,3,0,0,0,0,2,1,0,0,0.400,0.400,0.600,1.000,19,1.38,-0.85,0.234
 홍상삼,3,3,3,0,3,1,0,0,4,1,0,0,0,0,0,0,0,1.000,1.000,1.333,2.333,10,0.96,2.29,0.205
 이의리,5,5,3,2,2,0,0,0,2,3,1,0,0,0,0,0,1,0.667,0.600,0.667,1.267,24,1.06,2.35,0.200
 임기영,5,5,5,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0.600,0.600,1.200,1.800,14,0.97,1.89,0.195
 이형범,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.55,1.18,0.175
 노성호,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.63,0.83,0.165
 폰트,10,10,9,4,4,0,0,1,7,2,1,0,0,2,0,0,0,0.444,0.500,0.778,1.278,37,1.10,1.16,0.159
 백승현,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,1.90,0.95,0.146
 박준표,4,4,3,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,10,1.04,1.17,0.129
 신민혁,5,5,5,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,18,0.90,0.77,0.116
 주권,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.04,1.09,0.104
 데스파이네,6,6,5,4,3,0,0,0,3,0,1,0,0,0,0,0,0,0.600,0.667,0.600,1.267,24,0.55,1.93,0.101
 김현수,4,4,4,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,14,0.63,0.53,0.096
 박진태,4,4,2,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,24,0.86,1.73,0.095
