Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 장현식,3,3,3,1,2,0,0,1,5,4,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,16,1.98,2.83,0.391
 멩덴,6,6,5,2,3,0,0,1,6,3,1,0,0,0,0,0,0,0.600,0.667,1.200,1.867,19,0.92,2.82,0.339
 고우석,5,4,4,0,1,1,0,0,2,1,1,0,1,1,0,0,0,0.250,0.400,0.500,0.900,16,2.48,-0.95,0.288
 정해영,4,4,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,19,2.43,0.93,0.233
 전상현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.70,0.80,0.188
 윤중현,12,12,10,4,6,0,0,0,6,3,0,2,0,1,2,0,0,0.600,0.667,0.600,1.267,32,0.97,1.07,0.169
 최채흥,7,7,6,2,5,2,0,1,10,2,1,0,0,0,0,0,0,0.833,0.857,1.667,2.524,21,0.57,4.28,0.160
 스트레일리,8,8,7,2,2,0,0,0,2,1,1,0,0,1,1,0,0,0.286,0.375,0.286,0.661,30,1.09,1.33,0.159
 장시환,9,9,9,4,5,2,0,0,7,2,0,0,0,2,0,0,0,0.556,0.556,0.778,1.334,42,0.79,3.11,0.128
 김성민,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,4.09,0.04,0.110
 김유신,6,6,6,1,3,2,0,0,5,1,0,0,0,1,0,0,0,0.500,0.500,0.833,1.333,22,1.04,-0.03,0.099
 차우찬,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,12,1.35,0.83,0.092
 켈리,6,6,6,1,3,1,0,0,4,0,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,24,0.97,0.97,0.092
 김이환,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,0.98,1.20,0.091
 김정인,1,1,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.17,2.02,0.086
 이민호,4,4,4,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,17,1.35,0.81,0.085
 최성훈,3,3,3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0.333,0.333,0.333,0.666,10,1.38,-0.77,0.084
 최영환,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.29,0.86,0.082
 박진태,6,6,5,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,27,0.83,0.70,0.081
 킹험,6,6,4,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0.500,0.667,0.500,1.167,25,0.50,0.76,0.081
 조영우,3,3,3,1,2,0,1,0,4,1,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,11,0.38,1.47,0.080
 윤호솔,4,4,2,2,1,1,0,0,2,1,2,0,0,1,0,0,0,0.500,0.750,1.000,1.750,21,0.39,1.47,0.078
 이태양,2,2,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,8,1.49,0.42,0.077
 가빌리오,9,9,9,1,3,0,0,1,6,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,25,0.49,-0.60,0.076
 고영표,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,14,0.84,1.06,0.068
 파슨스,4,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.000,0.750,0.000,0.750,20,0.53,0.93,0.065
 배제성,9,9,7,1,4,1,0,0,5,0,2,0,0,0,0,0,0,0.571,0.667,0.714,1.381,33,1.00,0.47,0.064
 카펜터,6,6,6,1,3,1,0,0,4,1,0,0,0,2,0,0,0,0.500,0.500,0.667,1.167,27,0.90,0.53,0.062
 진해수,4,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,10,0.92,0.26,0.062
 김선기,4,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,11,0.88,0.60,0.061
 이인복,3,3,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,9,1.18,0.57,0.059
 김범수,4,4,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,12,0.45,0.48,0.058
 임창민,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.41,1.48,0.050
 손주영,3,3,1,1,1,1,0,0,2,1,0,1,0,0,0,0,1,1.000,0.667,2.000,2.667,12,0.50,0.33,0.049
 이민우,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.59,0.40,0.042
 김재열,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.62,0.86,0.040
 조현우,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.39,1.68,0.040
 김진욱,4,4,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,17,0.98,0.25,0.040
 고영창,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.97,0.29,0.038
 장재영,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,1.15,0.46,0.036
 뷰캐넌,3,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,7,0.63,0.45,0.033
 이우석,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.87,0.29,0.033
 김재웅,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.75,0.40,0.033
 김기중,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,5,0.69,0.30,0.031
 김종수,3,3,2,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,10,1.00,1.26,0.031
 서준원,4,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.000,0.250,0.000,0.250,11,0.81,-0.70,0.025
 최준용,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.80,0.12,0.025
 박주성,3,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0.000,0.333,0.000,0.333,10,0.27,0.51,0.024
 구승민,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1,0.38,0.25,0.024
 김윤식,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,12,0.58,0.38,0.021
 이승민,4,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,17,0.63,0.39,0.018
