Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 켈리,11,11,9,2,4,0,0,2,10,4,2,0,0,2,1,0,0,0.444,0.545,1.111,1.656,41,1.28,2.15,0.353
 서준원,3,3,2,2,1,0,0,1,4,2,1,0,0,1,0,0,0,0.500,0.667,2.000,2.667,15,1.17,1.93,0.281
 김택형,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,1.06,1.52,0.274
 윤중현,6,6,6,2,5,2,0,1,10,3,0,0,0,0,0,0,0,0.833,0.833,1.667,2.500,19,0.84,4.02,0.274
 김동혁,5,5,4,1,1,0,0,1,4,3,0,0,0,1,0,0,1,0.250,0.200,1.000,1.200,14,0.86,0.93,0.261
 브룩스,4,4,4,2,3,1,0,1,7,2,0,0,0,1,0,0,0,0.750,0.750,1.750,2.500,14,0.91,2.30,0.246
 이태양,10,10,8,4,3,0,0,3,12,3,2,0,0,1,0,0,0,0.375,0.500,1.500,2.000,34,0.71,3.40,0.244
 김유신,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,10,1.19,2.15,0.226
 원태인,12,12,10,1,5,0,1,0,7,0,2,0,0,3,0,0,0,0.500,0.583,0.700,1.283,57,0.87,1.29,0.213
 멩덴,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,1.24,1.46,0.200
 심창민,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,2.44,0.71,0.183
 가빌리오,2,2,2,2,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,5,0.67,2.17,0.178
 이우찬,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,2.08,1.38,0.155
