Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이승호,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,2.33,1.45,0.259
 노경은,5,5,4,2,3,1,0,1,7,1,1,0,0,0,0,0,0,0.750,0.800,1.750,2.550,24,0.68,3.22,0.257
 데스파이네,7,7,7,2,3,1,0,0,4,2,0,0,0,2,0,0,0,0.429,0.429,0.571,1.000,23,1.11,1.37,0.244
 폰트,5,5,3,2,2,0,0,1,5,2,2,0,0,0,0,0,0,0.667,0.800,1.667,2.467,23,0.84,2.78,0.241
 루친스키,11,11,8,1,3,1,1,0,6,4,2,1,0,2,0,0,0,0.375,0.545,0.750,1.295,55,1.16,4.32,0.229
 서진용,2,1,1,1,1,0,0,1,4,1,0,0,0,0,0,1,0,1.000,1.000,4.000,5.000,5,2.03,0.83,0.205
 조영우,2,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,4,1.61,1.27,0.197
 김이환,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,15,1.37,1.57,0.161
 윤대경,5,5,4,3,3,0,0,1,6,2,1,0,0,0,0,0,0,0.750,0.800,1.500,2.300,20,0.83,1.97,0.147
 김명신,4,4,4,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,19,1.03,2.42,0.143
 최금강,3,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,1.72,0.79,0.138
 정해영,3,3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,2.17,0.98,0.136
 송명기,7,7,6,1,3,1,0,1,7,1,1,0,0,2,0,0,0,0.500,0.571,1.167,1.738,36,0.97,1.11,0.113
 정찬헌,5,5,5,2,3,1,0,0,4,1,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,20,0.96,0.76,0.105
 원종현,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,1.17,0.42,0.095
 김기중,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,2.74,1.00,0.094
 김민우,13,13,9,1,2,1,0,0,3,0,4,0,0,1,0,0,0,0.222,0.462,0.333,0.795,54,0.69,1.61,0.093
 이민우,4,4,3,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,9,0.89,1.26,0.092
 로켓,8,8,7,1,2,0,0,0,2,1,1,0,0,0,1,0,0,0.286,0.375,0.286,0.661,26,0.87,-0.02,0.089
 유원상,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.16,0.40,0.087
 우규민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,2.90,0.46,0.085
 곽빈,7,7,6,2,3,0,0,0,3,0,0,1,0,0,0,0,0,0.500,0.571,0.500,1.071,25,0.69,0.64,0.082
 박민호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.91,0.40,0.077
 이대은,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,1.00,1.32,0.076
 이인복,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,13,1.30,0.70,0.074
 고영표,17,17,16,3,4,2,0,1,9,3,1,0,0,1,0,0,0,0.250,0.294,0.563,0.857,54,0.86,1.19,0.072
 오원석,10,10,7,3,2,0,0,0,2,2,2,1,0,2,0,0,0,0.286,0.500,0.286,0.786,37,0.89,1.86,0.070
 오승환,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,12,1.35,0.30,0.062
 브룩스,6,6,6,0,4,1,0,0,5,0,0,0,0,2,0,0,0,0.667,0.667,0.833,1.500,29,0.89,0.73,0.061
 이재익,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.80,1.29,0.059
 이재학,5,5,5,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,19,0.80,0.93,0.055
 다카하시,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,0.62,0.55,0.041
 이승민,4,4,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.500,0.000,0.500,21,1.11,0.39,0.039
 조현우,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,0.68,-0.42,0.037
 이건욱,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,5,0.80,0.33,0.036
 이승현,4,4,4,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,16,2.52,0.74,0.030
 김영규,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,14,1.05,1.35,0.026
 이준영,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,0.47,0.15,0.020
 김진성,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.42,0.10,0.020
 김윤수,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,0.42,-0.24,0.017
 원태인,9,9,7,1,2,0,0,0,2,0,2,0,0,1,0,0,0,0.286,0.444,0.286,0.730,41,1.23,-0.48,0.016
 최영환,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.49,0.10,0.016
 조상우,4,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,16,1.41,0.05,0.015
 정우람,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.11,-0.25,0.014
 박소준,3,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,13,0.48,-0.09,0.013
 이창재,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.55,0.03,0.013
 르위키,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,0.81,0.21,0.010
 서준원,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,7,0.93,-0.33,0.010
 김강률,4,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,14,2.41,1.10,0.010
 서덕원,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.14,0.49,0.010
 배동현,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.20,1.18,0.009
 박준표,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.12,0.18,0.008
 임창민,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,0.60,0.13,0.004
 박관진,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.07,1.73,0.004
 윤정현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.09,0.40,0.003
 양현,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.03,0.72,0.003
