Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 뷰캐넌,13,13,13,2,7,1,0,1,11,7,0,0,0,2,0,0,0,0.538,0.538,0.846,1.384,41,1.44,5.11,0.525
 김원중,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,3.25,1.33,0.370
 배제성,9,9,9,2,3,0,0,2,9,7,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,25,0.90,3.86,0.346
 김유신,4,4,3,2,2,1,0,0,3,2,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,13,1.15,1.91,0.159
 주권,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.90,0.60,0.153
 홍건희,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,12,2.06,1.38,0.136
 김상수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,3.47,0.40,0.134
 폰트,5,5,5,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.200,0.200,0.800,1.000,17,1.37,0.79,0.130
 김정인,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,14,0.55,0.92,0.128
 다카하시,3,3,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,0.69,1.67,0.120
 김성진,4,3,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0.500,0.667,0.500,1.167,12,2.03,0.57,0.108
 정찬헌,4,4,3,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,13,1.04,0.87,0.106
 나균안,4,4,4,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.95,0.77,0.105
 안영명,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,1.77,-0.33,0.103
 요키시,6,6,6,0,3,0,0,0,3,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,24,0.95,0.99,0.096
 이승호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.40,0.71,0.090
 강재민,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.19,0.81,0.089
 이승현,3,3,2,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0.500,0.667,1.000,1.667,14,1.23,1.00,0.086
