Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김태훈,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,15,2.85,0.65,0.250
 파슨스,7,7,6,1,3,1,0,0,4,3,0,1,0,0,0,0,0,0.500,0.571,0.667,1.238,26,1.42,2.31,0.237
 장시환,6,6,3,0,2,0,0,0,2,2,3,0,2,0,0,0,0,0.667,0.833,0.667,1.500,20,1.66,1.47,0.218
 최용준,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,0.86,1.66,0.197
 이건욱,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.72,1.88,0.169
 장현식,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,4.44,0.57,0.167
 나균안,2,2,2,1,2,1,0,0,3,3,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,8,1.13,1.96,0.164
 미란다,8,8,6,1,2,1,0,0,3,1,1,0,0,1,0,0,1,0.333,0.375,0.500,0.875,26,1.17,0.97,0.164
 김성민,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,1.000,,,11,1.30,0.98,0.155
 김기중,4,4,3,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0.333,0.500,0.667,1.167,18,0.82,1.69,0.148
 최원태,9,9,7,3,2,0,0,0,2,3,1,0,0,1,0,0,1,0.286,0.333,0.286,0.619,43,0.98,1.61,0.128
 백정현,6,6,3,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0.333,0.667,0.333,1.000,30,1.22,1.51,0.121
 한현희,4,4,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,9,0.72,1.73,0.118
 김민규,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.21,0.74,0.118
 이재학,5,5,4,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0.250,0.400,0.500,0.900,17,0.81,0.84,0.095
 이용찬,5,5,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,25,2.16,0.17,0.087
 노경은,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,1.11,0.64,0.086
 장지훈,5,5,4,1,1,0,0,1,4,2,1,0,0,0,1,0,0,0.250,0.400,1.000,1.400,23,1.28,0.34,0.085
 박진태,3,3,2,0,2,1,0,0,3,0,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,12,0.90,1.48,0.075
 최민준,6,6,5,1,3,0,0,0,3,2,1,0,0,0,0,0,0,0.600,0.667,0.600,1.267,16,0.52,3.81,0.073
 강재민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.85,0.29,0.070
 우규민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.85,0.29,0.070
 김진성,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,1.10,0.15,0.069
 이민호,2,2,2,2,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,8,0.61,1.15,0.066
 프랑코,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.89,0.83,0.065
 정해영,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,16,1.74,0.28,0.065
 멩덴,5,5,5,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,19,1.18,0.36,0.062
 송명기,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,14,0.93,0.73,0.061
 양현,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,18,1.44,0.43,0.060
 이승관,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.93,0.72,0.059
 권휘,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,0.42,1.31,0.059
 전상현,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.92,0.75,0.058
 박소준,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.18,0.46,0.047
 홍상삼,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.39,0.29,0.047
 이인복,3,3,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,8,1.63,0.57,0.046
 박세웅,7,7,6,1,1,0,0,1,4,3,0,1,0,0,0,0,0,0.167,0.286,0.667,0.953,22,1.19,-0.13,0.045
 김범수,3,3,1,1,1,0,0,0,1,0,2,0,1,0,0,0,0,1.000,1.000,1.000,2.000,19,0.56,1.01,0.039
 김이환,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.98,0.40,0.037
 김동혁,4,4,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.000,0.500,0.000,0.500,13,1.48,0.54,0.036
