Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 홍건희,3,3,3,2,2,0,0,2,8,3,0,0,0,0,0,0,0,0.667,0.667,2.667,3.334,7,1.06,2.49,0.464
 안우진,6,6,5,2,2,0,0,2,8,6,1,0,0,1,0,0,0,0.400,0.500,1.600,2.100,22,0.94,4.56,0.396
 이승진,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,2.65,2.00,0.329
 김건태,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,3.22,3.28,0.320
 강재민,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,10,2.38,0.60,0.266
 유희관,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,1.98,1.69,0.228
 신정락,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.54,0.80,0.217
 김재웅,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,7,1.68,1.58,0.212
 김태훈,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,13,1.65,2.19,0.188
 정수민,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,1.45,1.00,0.163
 신민혁,6,6,6,1,1,0,0,1,4,3,0,0,0,1,1,0,0,0.167,0.167,0.667,0.834,24,1.09,0.51,0.161
 오원석,7,7,4,1,1,1,0,0,2,2,3,0,0,1,0,0,0,0.250,0.571,0.500,1.071,29,1.32,2.05,0.152
 배동현,3,3,2,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,11,1.01,1.94,0.148
 배재준,4,4,3,1,2,1,0,0,3,1,0,1,0,0,0,0,0,0.667,0.750,1.000,1.750,8,1.08,1.36,0.142
 주현상,2,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,9,1.13,1.31,0.140
 이승민,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,0.92,1.58,0.139
 박정수,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,3.17,1.00,0.132
 이영하,5,5,4,2,3,0,0,0,3,1,1,0,0,0,0,0,0,0.750,0.800,0.750,1.550,15,0.78,1.89,0.130
 조병현,2,2,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.71,1.52,0.129
 멩덴,9,9,9,2,4,2,0,2,12,3,0,0,0,1,0,0,0,0.444,0.444,1.333,1.777,34,0.61,2.19,0.112
 카펜터,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,0.97,0.55,0.112
 소형준,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.28,1.18,0.110
 최금강,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,6,0.67,0.37,0.110
 송명기,8,8,8,2,3,1,0,0,4,2,0,0,0,0,1,0,0,0.375,0.375,0.500,0.875,27,1.12,0.35,0.099
 이태양,8,8,7,1,1,0,0,1,4,4,0,0,0,0,0,0,1,0.143,0.125,0.571,0.696,36,1.29,0.64,0.093
 박진태,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,15,0.85,1.10,0.080
 김영규,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.62,0.43,0.073
 김선기,6,6,3,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0.000,0.500,0.000,0.500,22,1.18,0.73,0.070
 뷰캐넌,5,5,5,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.200,0.200,0.800,1.000,16,1.00,0.75,0.067
 강동연,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.40,0.74,0.065
 윤중현,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,9,1.25,0.29,0.062
 류진욱,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,15,0.45,0.93,0.057
 김민수,5,5,3,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0.667,0.800,0.667,1.467,14,0.50,1.47,0.053
 장필준,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,17,0.55,0.64,0.051
 배제성,9,9,6,2,2,0,0,0,2,2,3,0,0,0,0,0,0,0.333,0.556,0.333,0.889,36,1.06,1.36,0.050
 박민호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.61,0.24,0.038
 이승현,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,0.40,0.55,0.037
 김태훈,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.79,0.06,0.037
 고영창,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.51,0.97,0.036
 남재현,3,3,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,0.29,2.10,0.030
 홍정우,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.39,0.98,0.028
 이정현,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,7,0.65,1.13,0.027
 브룩스,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,14,0.93,0.27,0.027
 박관진,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.43,1.14,0.025
 김민규,3,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,12,1.09,0.38,0.024
 김윤식,5,5,4,0,3,0,0,0,3,0,1,0,0,1,0,0,0,0.750,0.800,0.750,1.550,30,0.87,0.77,0.021
 최원태,10,10,9,0,4,1,0,0,5,0,0,1,0,1,0,0,0,0.444,0.500,0.556,1.056,36,0.76,0.45,0.020
 가빌리오,9,9,7,0,2,0,0,0,2,2,1,0,0,0,0,0,1,0.286,0.333,0.286,0.619,34,0.62,-0.12,0.019
 이용찬,5,5,5,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,21,1.14,-0.23,0.018
 박시영,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,1.47,0.18,0.018
 이재희,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.64,0.03,0.010
 김동혁,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,0.34,1.68,0.008
 윤명준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.15,0.12,0.006
 우규민,2,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,1.62,0.01,0.006
 최성훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.08,0.29,0.005
 김재윤,5,4,4,0,2,1,0,0,3,0,1,0,1,0,1,0,0,0.500,0.600,0.750,1.350,18,2.02,-0.66,0.004
 서진용,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,3,1.38,0.74,0.003
 조제영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.04,0.30,0.002
