Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김영규,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,2.54,3.28,0.327
 쿠에바스,5,5,4,0,2,2,0,0,4,1,1,0,0,1,0,0,0,0.500,0.600,1.000,1.600,20,0.99,1.98,0.173
 노경은,3,3,3,2,1,0,0,1,4,4,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,8,1.64,1.85,0.167
 정우영,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.46,1.29,0.129
 브리검,6,6,4,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0.250,0.500,0.250,0.750,29,0.75,1.11,0.127
 한현희,4,4,4,0,3,1,0,0,4,0,0,0,0,1,0,0,0,0.750,0.750,1.000,1.750,10,0.85,1.31,0.116
 남호,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.36,0.71,0.093
 로켓,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,12,0.60,0.94,0.088
 홍건희,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,1.70,0.57,0.075
 이민호,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.28,0.53,0.052
 최민준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.02,0.40,0.044
 임찬규,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,1.53,0.70,0.041
 차우찬,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.68,0.29,0.027
 배민서,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.48,1.00,0.023
 배제성,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,11,0.78,0.30,0.022
 오승환,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,1.71,0.81,0.022
 박치국,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.54,0.06,0.020
 켈리,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.66,0.15,0.020
 오원석,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.30,0.49,0.019
 서준원,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.17,1.34,0.015
 데스파이네,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,11,0.33,0.01,0.014
 배재준,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.24,0.18,0.014
 김건국,3,3,3,2,2,2,0,0,4,1,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,15,0.09,1.68,0.013
