Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 심창민,2,2,2,2,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,7,1.60,2.48,0.394
 스트레일리,6,6,5,2,4,1,0,0,5,3,1,0,0,0,0,0,0,0.800,0.833,1.000,1.833,22,1.25,3.52,0.306
 이형범,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,5.35,1.00,0.244
 김도규,4,3,3,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0.333,0.333,0.667,1.000,19,1.25,0.95,0.150
 이태양,3,3,2,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,12,0.83,1.17,0.128
 홍건희,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.44,0.52,0.100
 김선기,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,7,1.12,0.74,0.069
 이승민,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.14,0.69,0.064
 프랑코,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,1.41,0.50,0.059
 김대우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.34,0.40,0.052
 강재민,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,12,0.74,0.18,0.052
 다카하시,3,3,3,2,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,11,0.50,0.89,0.042
 김태훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,2.70,0.25,0.038
 김성진,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,1.57,0.10,0.029
 송명기,4,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.000,0.250,0.000,0.250,16,1.47,0.11,0.020
 김유영,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,0.667,0.000,0.667,8,0.17,-0.02,0.014
 정찬헌,5,5,4,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,25,1.27,0.19,0.011
 최민준,5,5,5,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,15,0.99,-0.05,0.009
 김명신,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.66,0.32,0.007
 김민우,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,12,0.45,0.22,0.004
 박시영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.08,-0.07,0.004
 박주성,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.06,0.49,0.003
