Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 킹험,4,4,3,0,2,1,0,0,3,1,1,0,0,1,0,0,0,0.667,0.750,1.000,1.750,15,1.39,1.95,0.200
 이인복,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.68,1.00,0.189
 김윤식,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,12,1.23,1.38,0.150
 소형준,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,0.94,1.46,0.117
 박치국,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.83,0.71,0.105
 서준원,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,4,0.61,0.74,0.092
 신민혁,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,18,1.21,1.26,0.090
 이보근,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,1.35,1.73,0.070
 곽빈,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,8,0.75,1.15,0.068
 프랑코,3,3,3,1,2,1,0,0,3,2,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,17,1.11,1.65,0.066
 김원중,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,1.22,1.51,0.062
 구승민,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.000,0.000,0.000,0.000,4,1.94,-0.96,0.061
 김태훈,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.56,1.00,0.053
 이민호,5,5,5,1,1,0,0,1,4,3,0,0,0,3,0,0,0,0.200,0.200,0.800,1.000,25,0.62,1.73,0.048
 김현준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.88,0.40,0.042
 최금강,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.52,0.86,0.037
 쿠에바스,6,6,6,0,2,1,0,0,3,0,0,0,0,2,1,0,0,0.333,0.333,0.500,0.833,22,0.94,-0.05,0.032
 김종수,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,8,0.57,0.74,0.031
 김상수,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,0.50,-0.25,0.027
 카펜터,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,0.72,0.18,0.025
 홍성민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.93,0.24,0.021
