Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박준표,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.48,1.33,0.144
 몽고메리,3,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,1.000,,,19,1.13,1.64,0.119
 신재영,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,2,1.05,0.59,0.103
 서덕원,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.61,1.82,0.096
 김상수,3,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,12,2.82,-2.24,0.094
 서준원,3,2,2,1,2,0,0,0,2,1,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,3,1.28,1.40,0.087
 이의리,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,1.08,1.00,0.083
 김정빈,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,1.08,0.72,0.072
 이승현,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,8,1.88,0.46,0.067
 김진욱,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.15,0.29,0.042
 구승민,3,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,13,0.88,0.78,0.042
 요키시,6,5,5,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0.400,0.400,0.400,0.800,19,1.31,-0.31,0.036
 박소준,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.32,0.12,0.031
 장지훈,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.56,0.53,0.029
 김동혁,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.80,0.71,0.028
