Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 최원태,9,9,9,1,5,1,0,0,6,5,0,0,0,2,1,0,0,0.556,0.556,0.667,1.223,27,1.21,3.96,0.369
 박세웅,8,8,7,0,1,1,0,0,2,4,1,0,0,1,0,0,0,0.143,0.250,0.286,0.536,25,1.91,1.15,0.310
 심창민,5,5,4,1,1,0,0,1,4,4,1,0,0,2,0,0,0,0.250,0.400,1.000,1.400,24,1.24,2.21,0.268
 김성민,2,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,8,1.20,1.29,0.253
 김강률,5,5,2,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0.500,0.600,0.500,1.100,21,2.80,0.76,0.252
 김민규,4,4,3,1,1,0,0,1,4,3,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,17,0.73,1.38,0.230
 정우람,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,2.64,1.34,0.217
 백정현,5,5,4,2,3,0,0,1,6,1,1,0,0,0,0,0,0,0.750,0.800,1.500,2.300,17,0.76,2.15,0.205
 킹험,6,6,5,2,2,0,0,0,2,2,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,32,1.29,1.34,0.204
 브룩스,5,5,4,1,2,1,0,0,3,1,1,0,0,1,1,0,0,0.500,0.600,0.750,1.350,19,1.15,1.61,0.187
 윤중현,4,4,3,1,1,0,0,1,4,3,0,1,0,0,0,0,0,0.333,0.500,1.333,1.833,14,0.81,3.64,0.140
 요키시,5,5,5,3,4,1,0,0,5,0,0,0,0,0,0,0,0,0.800,0.800,1.000,1.800,20,0.98,1.61,0.133
 원태인,3,3,3,1,1,0,0,1,4,2,0,0,0,0,1,0,0,0.333,0.333,1.333,1.666,17,1.35,0.23,0.129
 폰트,3,3,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.76,1.32,0.126
 이승호,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,3.71,1.00,0.126
 김민우,14,14,13,1,4,1,0,1,8,5,0,0,0,2,1,0,1,0.308,0.286,0.615,0.901,59,1.00,0.41,0.126
 이민우,5,5,4,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,15,1.08,1.09,0.125
 김진성,3,3,3,1,1,1,0,0,2,2,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,10,1.13,1.24,0.118
 정찬헌,5,5,4,1,2,1,0,0,3,2,0,1,0,0,0,0,0,0.500,0.600,0.750,1.350,17,1.13,1.59,0.116
 박소준,4,4,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1.000,1.000,1.000,2.000,23,1.18,1.68,0.110
 이승헌,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,1.46,1.18,0.101
 김성진,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,12,0.97,0.64,0.096
 임기영,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,19,1.06,0.70,0.095
 최금강,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,5,1.71,1.30,0.090
 장시환,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.32,0.86,0.089
 이재익,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,2.20,1.00,0.080
 현도훈,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.38,1.00,0.074
 박민호,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,1.93,0.71,0.071
 최채흥,6,6,5,1,2,1,0,0,3,2,1,0,0,1,0,0,0,0.400,0.500,0.600,1.100,26,0.68,1.77,0.071
 심재민,3,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.000,0.333,0.000,0.333,6,1.36,0.74,0.069
 김종수,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.97,0.81,0.069
