Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정우람,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,3.19,-0.42,0.342
 배제성,7,7,6,2,4,0,0,0,4,0,1,0,0,1,0,0,0,0.667,0.714,0.667,1.381,26,0.88,1.57,0.164
 장시환,5,5,2,3,2,1,0,0,3,0,3,0,0,0,0,0,0,1.000,1.000,1.500,2.500,25,0.97,2.03,0.160
 조병현,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.93,1.56,0.159
 뷰캐넌,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.19,1.30,0.109
 김강률,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.83,0.40,0.092
 강재민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,2.16,0.40,0.087
 최원태,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,15,1.42,0.65,0.082
 이의리,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.93,0.81,0.076
 진명호,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,1.05,0.75,0.068
 서덕원,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,1.93,0.65,0.058
 백정현,4,4,4,2,3,0,0,0,3,0,0,0,0,1,0,0,0,0.750,0.750,0.750,1.500,15,0.59,0.90,0.054
 이승호,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.66,0.75,0.047
 정찬헌,3,3,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,0.58,0.46,0.041
 이민우,4,4,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,18,0.63,-0.04,0.040
 임기영,6,6,4,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.000,0.333,0.000,0.333,24,0.84,0.03,0.040
 김범수,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.65,0.18,0.036
 오원석,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,1.27,0.10,0.034
 카펜터,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,13,1.03,0.33,0.027
 박소준,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,0.58,0.33,0.025
 김윤식,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.57,0.40,0.022
 노경은,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.23,0.88,0.021
 임준섭,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.66,0.17,0.016
 박민호,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.29,0.40,0.011
 쿠에바스,6,6,6,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,18,0.96,-0.44,0.011
 김종수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.18,0.60,0.010
 강윤구,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.88,0.28,0.009
 스트레일리,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,13,0.62,0.03,0.009
 김동혁,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.13,0.24,0.007
 김상수,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.24,0.01,0.006
 김현수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.11,0.12,0.003
 김민수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.05,1.00,0.003
 이인복,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,7,0.02,0.72,0.002
 최민준,6,6,4,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0.250,0.500,0.250,0.750,22,0.98,0.18,0.002
 김대우,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.03,0.75,0.002
 김성민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.03,0.40,0.001
 정성종,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.02,0.82,0.001
 조영우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.02,0.12,0.000
 최영환,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,0.52,-0.08,0.000
 이보근,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.01,0.24,0.000
 신재영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.06,0.03,0.000
 이충호,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.37,0.000
 김지용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.42,0.000
 권휘,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.49,0.000
