Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 카펜터,12,12,9,1,4,0,0,1,7,4,2,1,0,2,0,0,0,0.444,0.583,0.778,1.361,52,0.82,3.09,0.349
 손정욱,1,1,1,1,1,0,1,0,3,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,6,2.86,1.97,0.269
 김범수,5,5,4,1,2,0,1,0,4,0,1,0,0,1,0,0,0,0.500,0.600,1.000,1.600,20,1.21,1.18,0.262
 장현식,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,2.54,0.86,0.160
 주권,7,7,6,1,3,0,0,0,3,1,1,0,0,0,0,0,0,0.500,0.571,0.500,1.071,25,1.76,1.00,0.149
 이승호,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,7,1.01,0.45,0.124
 강윤구,4,4,4,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,16,0.75,1.07,0.121
 이정용,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,0.76,1.10,0.116
 심창민,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,2,0.86,0.89,0.110
 김태훈,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.63,0.89,0.108
 임찬규,8,8,7,1,2,0,1,0,4,1,0,1,0,0,0,0,0,0.286,0.375,0.571,0.946,30,0.75,0.49,0.106
 로켓,10,9,9,2,3,1,0,0,4,0,0,0,0,2,0,1,0,0.333,0.333,0.444,0.777,31,0.87,0.62,0.101
 김도규,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,4,0.94,0.74,0.098
 이재학,3,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,0.76,0.98,0.089
 조상우,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,1.32,0.69,0.088
