Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김태훈,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,4.64,1.72,0.272
 김택형,2,1,1,0,1,1,0,0,2,2,1,0,1,0,0,0,0,1.000,1.000,2.000,3.000,2,1.94,1.88,0.207
 김건우,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,1.42,1.60,0.152
 뷰캐넌,8,8,8,2,4,0,0,0,4,0,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,30,0.91,1.23,0.144
 서준원,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,8,0.94,1.27,0.117
 김재윤,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,2.16,0.25,0.100
 오원석,3,3,3,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,8,0.61,0.84,0.098
 박소준,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,6,0.77,0.93,0.092
 최지광,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.41,0.39,0.092
 켈리,8,8,8,1,2,0,0,0,2,1,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,37,1.08,-0.19,0.079
 김영규,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.82,-0.64,0.054
 카펜터,8,8,7,0,2,1,0,0,3,0,1,0,0,3,0,0,0,0.286,0.375,0.429,0.804,28,1.08,0.53,0.052
 노성호,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,0.43,-0.01,0.052
 강동연,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.04,0.37,0.051
 최채흥,3,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,8,1.06,0.32,0.050
 김범수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2,0.99,0.82,0.045
 몽고메리,3,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,1.20,0.46,0.044
 김종수,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,5,1.80,0.00,0.042
 김윤수,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.88,0.40,0.042
 서진용,2,2,2,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,10,1.02,0.87,0.040
 데스파이네,9,9,8,1,3,0,0,0,3,1,1,0,0,1,0,0,0,0.375,0.444,0.375,0.819,30,0.97,-0.15,0.039
 장지훈,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.84,0.89,0.039
 김대우,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.04,0.71,0.037
 허윤동,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.66,0.74,0.033
 가빌리오,3,3,2,1,1,0,0,1,4,3,0,1,0,0,0,0,0,0.500,0.667,2.000,2.667,11,0.71,2.40,0.032
 미란다,6,6,6,1,2,1,0,0,3,1,0,0,0,4,0,0,0,0.333,0.333,0.500,0.833,24,1.03,0.27,0.027
 구승민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.59,0.29,0.027
 엄상백,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.35,0.41,0.021
 나균안,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.23,1.00,0.020
 원종현,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.33,1.64,0.020
 김현수,5,5,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,15,0.95,0.06,0.015
 권휘,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.40,0.40,0.015
 파슨스,6,6,5,2,1,0,0,1,4,2,1,0,0,2,0,0,0,0.200,0.333,0.800,1.133,18,1.04,0.22,0.013
 진해수,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.10,1.03,0.012
 장지수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,9,0.57,0.36,0.009
 오동욱,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,11,1.29,-0.11,0.007
 이강준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.25,0.24,0.006
 함덕주,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.18,0.46,0.005
 이용준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.11,0.40,0.004
 윤명준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.11,0.40,0.004
 황영국,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.07,0.12,0.003
 김건국,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.08,0.29,0.003
 김상수,2,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,11,0.02,1.12,0.003
 로켓,3,3,3,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,5,1.39,0.07,0.002
 채지선,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.25,0.52,0.000
 현도훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.05,0.18,0.000
 이충호,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.01,0.17,0.000
 김재열,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.01,0.12,0.000
 김민수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.00,0.29,0.000
 안인산,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.58,0.000
 이상영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.22,0.000
 신재영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.19,0.000
 김동우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.00,-0.26,0.000
 이우석,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.26,0.000
 박선우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.46,-0.001
 심재민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.26,-0.001
 김유영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.04,0.13,-0.001
 홍정우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.13,-0.26,-0.003
 김현준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.14,-0.54,-0.004
 임찬규,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.18,-0.22,-0.005
 박시영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.22,-0.11,-0.006
 문경찬,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.22,-0.26,-0.006
 이의리,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,9,1.25,-0.37,-0.006
 장필준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.25,-0.19,-0.006
 박진태,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.23,-0.22,-0.007
 서덕원,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.15,-0.47,-0.008
 이준영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.31,-0.11,-0.008
 이상민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.32,-0.11,-0.008
 김명신,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.18,-0.21,-0.009
 심창민,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,4,0.56,1.23,-0.010
 김원중,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.40,-0.19,-0.010
 박준표,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.43,-0.26,-0.011
 이용찬,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.44,-0.26,-0.011
 홍성민,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.37,-0.62,-0.018
 박민호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.60,-0.49,-0.019
 윤대경,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,11,0.72,-0.29,-0.019
 김기중,4,4,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.250,0.250,0.250,0.500,10,0.42,-0.35,-0.020
 이재학,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.79,-0.22,-0.022
