Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 폰트,16,16,13,1,6,1,0,1,10,1,3,0,0,0,0,0,0,0.462,0.563,0.769,1.332,50,0.85,1.82,0.310
 김민우,10,10,10,0,3,0,0,0,3,3,0,0,0,2,0,0,0,0.300,0.300,0.300,0.600,48,1.54,0.51,0.292
 장시환,7,7,6,2,3,1,0,0,4,2,0,0,0,0,0,0,1,0.500,0.429,0.667,1.096,24,0.80,2.89,0.250
 홍상삼,2,2,2,1,2,1,0,1,6,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,3,1.27,2.00,0.240
 임기영,6,6,5,2,4,1,0,0,5,0,1,0,0,0,0,0,0,0.800,0.833,1.000,1.833,26,0.91,2.45,0.221
 장지훈,3,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,9,1.01,0.57,0.200
 송명기,16,16,12,3,5,1,0,2,12,5,4,0,0,1,0,0,0,0.417,0.563,1.000,1.563,51,0.75,3.95,0.198
 임찬규,6,6,6,1,3,0,0,0,3,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,33,1.06,1.28,0.196
 이민호,4,4,4,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,7,0.83,2.32,0.194
 진명호,3,3,3,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,13,1.72,1.37,0.192
 김택형,5,5,4,1,1,0,0,1,4,3,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,21,0.78,2.08,0.190
 윤중현,11,11,11,0,4,1,0,0,5,1,0,0,0,0,0,0,0,0.364,0.364,0.455,0.819,33,1.03,1.33,0.178
 소형준,9,9,7,2,4,0,0,0,4,0,2,0,0,0,0,0,0,0.571,0.667,0.571,1.238,35,0.88,1.66,0.167
 조상우,4,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.750,0.000,0.750,19,1.80,0.39,0.145
 쿠에바스,14,14,12,4,4,0,0,0,4,0,2,0,0,1,0,0,0,0.333,0.429,0.333,0.762,54,0.98,1.27,0.144
 김성민,5,5,3,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0.333,0.600,0.333,0.933,22,1.60,1.13,0.142
 정찬헌,5,5,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,15,0.76,1.36,0.139
 정우람,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,2.43,0.53,0.129
 최원태,5,5,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0.500,0.800,0.500,1.300,16,1.14,1.30,0.119
 노경은,4,4,4,2,2,0,0,2,8,2,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,11,0.27,1.38,0.109
 서준원,4,4,3,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,13,1.09,1.32,0.101
 송은범,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,9,1.22,0.89,0.100
 최성훈,4,4,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,21,0.83,1.47,0.095
 한승혁,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,1.25,0.44,0.095
 신민혁,11,11,9,3,3,0,0,0,3,0,2,0,0,1,0,0,0,0.333,0.455,0.333,0.788,52,0.67,0.49,0.094
 최채흥,10,10,9,1,5,0,0,0,5,2,0,0,0,0,0,0,1,0.556,0.500,0.556,1.056,39,0.57,0.74,0.094
 김동혁,9,9,8,1,4,1,0,0,5,0,1,0,0,0,0,0,0,0.500,0.556,0.625,1.181,20,0.46,0.70,0.091
 이인복,4,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,15,0.93,0.06,0.083
 이용찬,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,2.32,0.40,0.082
 최영환,2,2,2,1,1,1,0,0,2,2,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,7,0.60,1.25,0.077
 주권,4,4,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,14,1.97,0.18,0.076
 뷰캐넌,5,5,5,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,20,0.88,0.58,0.075
 이승현,4,4,3,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,16,0.38,1.96,0.073
 브룩스,7,7,7,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.286,0.286,0.286,0.572,22,1.50,0.85,0.070
 안우진,6,6,6,1,2,0,0,1,5,2,0,0,0,1,0,0,0,0.333,0.333,0.833,1.166,21,1.10,0.53,0.067
 우규민,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.36,1.88,0.065
 김재웅,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.82,0.85,0.062
 김성진,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.49,0.21,0.059
 주현상,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.64,0.77,0.058
 심재민,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,16,0.56,0.11,0.057
 임창민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.78,1.00,0.055
 원태인,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,0.81,0.64,0.051
 이의리,3,3,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,12,0.79,0.38,0.046
 이승호,7,6,6,2,2,0,0,1,5,2,1,0,1,1,0,0,0,0.333,0.429,0.833,1.262,22,0.48,0.79,0.045
 장현식,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.96,-0.23,0.044
 루친스키,6,6,6,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,18,0.60,0.58,0.041
 수아레즈,7,7,7,1,4,1,0,0,5,0,0,0,0,0,0,0,0,0.571,0.571,0.714,1.285,19,0.67,0.54,0.041
 이대은,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.15,0.29,0.040
