Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 문경찬,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,6.39,-0.82,0.342
 조상우,4,4,4,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,17,2.35,-1.26,0.342
 정우람,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,9,3.11,-1.05,0.336
 킹험,9,9,8,5,6,0,0,0,6,0,1,0,0,0,0,0,0,0.750,0.778,0.750,1.528,33,1.10,2.92,0.271
 곽빈,9,9,2,1,1,0,0,0,1,1,6,1,0,1,0,0,0,0.500,0.889,0.500,1.389,52,1.17,2.54,0.225
 주권,4,4,4,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,17,2.06,1.07,0.220
 미란다,13,13,9,2,3,1,0,0,4,1,4,0,0,2,0,0,0,0.333,0.538,0.444,0.982,56,0.79,2.09,0.213
 김태훈,5,5,5,1,3,1,0,0,4,2,0,0,0,0,0,0,0,0.600,0.600,0.800,1.400,21,1.96,1.84,0.212
 김강률,4,4,4,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,13,1.63,0.59,0.196
 김이환,3,3,3,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,1.59,2.16,0.192
 장필준,2,2,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,2.32,1.75,0.190
 임정호,3,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,10,1.63,1.23,0.182
 윤대경,8,8,6,1,2,0,0,1,5,6,2,0,0,1,0,0,0,0.333,0.500,0.833,1.333,27,0.74,4.17,0.180
 프랑코,6,6,3,1,1,0,0,1,4,1,3,0,0,0,0,0,0,0.333,0.667,1.333,2.000,23,1.27,1.32,0.158
 이민우,6,6,3,3,2,1,0,0,3,1,2,1,0,0,0,0,0,0.667,0.833,1.000,1.833,23,0.79,2.18,0.155
 이건욱,2,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,1.51,1.82,0.154
 김유신,6,6,5,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,29,1.23,0.94,0.137
 김태훈,5,5,2,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0.500,0.800,0.500,1.300,28,1.52,1.02,0.135
 서진용,4,4,3,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,20,0.86,0.90,0.129
 이인복,3,3,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.99,1.21,0.125
 백정현,9,9,7,2,2,1,0,0,3,0,2,0,0,2,0,0,0,0.286,0.444,0.429,0.873,51,0.93,1.09,0.124
 멩덴,9,9,7,2,2,1,0,0,3,1,2,0,0,0,0,0,0,0.286,0.444,0.429,0.873,32,1.08,1.16,0.122
