Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 노경은,5,5,5,1,3,0,0,1,6,2,0,0,0,1,0,0,0,0.600,0.600,1.200,1.800,14,1.08,2.84,0.334
 소형준,9,9,9,2,5,0,0,1,8,2,0,0,0,1,0,0,0,0.556,0.556,0.889,1.445,35,1.03,2.80,0.296
 데스파이네,9,9,6,0,4,1,0,0,5,0,3,0,0,1,0,0,0,0.667,0.778,0.833,1.611,40,0.67,2.29,0.207
 홍건희,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,4.63,1.00,0.190
 브룩스,3,3,3,2,2,1,0,0,3,3,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,12,0.98,2.32,0.183
 김태훈,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.26,1.12,0.173
 폰트,4,4,4,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,14,1.28,1.25,0.170
 브리검,6,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,21,0.84,-0.03,0.170
 이승헌,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.37,0.60,0.097
 멩덴,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,1.51,0.89,0.096
 배제성,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,15,1.02,1.04,0.092
 정우준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.29,0.97,0.091
 홍성민,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.92,1.00,0.078
 이승민,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.86,0.84,0.074
 원종현,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,4.84,-0.22,0.068
 김성민,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.07,0.16,0.060
 이승현,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.78,1.08,0.056
 구승민,3,3,3,0,1,0,1,0,3,1,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,13,0.76,0.78,0.051
 이재학,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.91,0.61,0.044
 최원태,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,1.09,0.38,0.044
 김정빈,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,10,1.60,0.36,0.038
 문승원,6,6,6,1,2,1,0,0,3,0,0,0,0,1,1,0,0,0.333,0.333,0.500,0.833,21,1.20,0.65,0.030
 오원석,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,17,0.24,0.88,0.029
 김대우,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,12,0.46,-0.17,0.027
 심재민,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.25,0.52,0.024
 김택형,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.62,0.29,0.023
 김동혁,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.67,1.00,0.022
 안영명,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.40,0.29,0.018
 이민호,4,4,3,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,18,0.95,0.08,0.015
 박민호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.55,0.24,0.012
 조상우,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.17,1.00,0.009
 심창민,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.13,0.15,0.008
 윤명준,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,0.17,1.49,0.006
 박시영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.11,0.72,0.004
 라이블리,3,3,2,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,17,1.24,0.00,0.003
 김대현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.01,1.00,0.001
 최성훈,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.01,-0.14,0.001
 김성진,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.19,0.000
 오석주,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.26,0.000
 이승헌,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.11,0.000
 김현수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.02,-0.11,0.000
 장필준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.22,-0.001
 이창재,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.04,-0.26,-0.001
 김진성,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.05,-0.58,-0.001
 이강준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.05,-0.34,-0.002
 박정수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.08,-0.37,-0.002
 류진욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.11,0.54,-0.003
 한현희,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,14,0.59,-0.06,-0.004
 이인복,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.11,-0.65,-0.005
 배재준,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.13,0.01,-0.005
 이상동,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.21,-0.46,-0.005
 진해수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.21,-0.46,-0.005
 김대유,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.22,-0.11,-0.006
 김재웅,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.13,-0.33,-0.007
 전유수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.30,-0.26,-0.008
 김민규,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.23,-0.82,-0.008
 송명기,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,30,0.92,-0.46,-0.013
 문성현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,2,0.32,-0.58,-0.014
 문경찬,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.30,1.62,-0.014
 진명호,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.49,-0.64,-0.015
 조영우,3,3,3,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,12,0.85,0.15,-0.017
 송재영,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.40,-0.56,-0.019
 백정현,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,0.85,-0.30,-0.021
 박진태,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.44,-0.30,-0.022
 박종훈,4,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000,0.250,0.000,0.250,14,0.71,-0.27,-0.025
 양현,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,0.37,-0.83,-0.029
 수아레즈,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,15,0.95,-0.40,-0.031
