Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 우규민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,5.14,1.00,0.303
 고영표,5,5,5,0,2,1,0,0,3,2,0,0,0,2,0,0,0,0.400,0.400,0.600,1.000,17,0.88,1.33,0.159
 박세웅,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.97,1.59,0.151
 김태훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,3.49,0.94,0.139
 소형준,8,8,7,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.286,0.375,0.286,0.661,31,1.13,0.09,0.071
 이승헌,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.02,1.55,0.070
 이재익,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.54,0.41,0.068
 김동혁,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.60,1.00,0.057
 최원태,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.10,0.81,0.052
 반즈,3,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,13,0.91,0.33,0.047
 허윤동,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,10,0.95,0.42,0.040
 박민호,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.03,0.25,0.033
 윤정현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.03,0.25,0.025
 하영민,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.19,1.17,0.006
 김대유,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,0.56,0.25,0.006
 루친스키,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,11,0.68,-0.19,0.002
 함덕주,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.10,-0.04,0.001
 문용익,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.02,1.00,0.001
 하준영,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.01,-0.37,-0.001
 한승혁,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.29,0.03,-0.008
 스트레일리,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.30,-0.25,-0.008
 박시영,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000,0.500,0.000,0.500,3,0.39,-0.34,-0.010
 뷰캐넌,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.41,-0.34,-0.011
