Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 진해수,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,3,0.92,0.95,0.078
 서진용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.95,0.29,0.050
 이민석,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.96,0.11,0.049
 박종훈,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,4,1.69,0.57,0.021
 최충연,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.00,0.90,0.000
 박정준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.34,0.000
 이재학,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,1.59,0.000
 김정빈,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.20,0.000
 김재영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.02,-0.34,-0.001
 이강준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.11,-0.25,-0.003
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.18,-0.54,-0.004
 최동환,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,0.14,0.03,-0.004
 유승철,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.44,-0.37,-0.009
 최성훈,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.75,-0.11,-0.010
 원종현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.41,-0.25,-0.011
 임기영,4,4,4,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,16,1.05,-0.27,-0.011
 고우석,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.44,-0.09,-0.012
 이정용,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.62,-0.09,-0.016
 강재민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.75,-0.25,-0.019
 스트레일리,4,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,14,0.96,-0.47,-0.038
 켈리,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.82,-0.34,-0.041
 이승현,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,8,0.92,-0.58,-0.046
 김진성,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.60,-0.58,-0.077
 송명기,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,11,1.37,-1.16,-0.087
 안우진,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,8,2.56,-1.78,-0.134
