Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 켈리,12,12,12,3,8,0,0,2,14,4,0,0,0,1,0,0,0,0.667,0.667,1.167,1.834,38,0.94,4.70,0.510
 김시훈,3,3,3,1,2,1,0,1,6,2,0,0,0,1,0,0,0,0.667,0.667,2.000,2.667,7,1.96,1.95,0.457
 이의리,3,3,3,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,9,1.37,1.85,0.249
 데스파이네,5,5,5,1,1,1,0,0,2,2,0,0,0,1,0,0,0,0.200,0.200,0.400,0.600,13,1.71,1.79,0.214
 하영민,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,3.23,1.33,0.201
 원태인,9,9,8,3,3,0,0,1,6,2,1,0,0,1,0,0,0,0.375,0.444,0.750,1.194,33,1.04,2.08,0.176
 주권,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.95,0.81,0.145
 백정현,7,7,7,3,4,2,0,0,6,1,0,0,0,0,0,0,0,0.571,0.571,0.857,1.428,26,1.06,1.16,0.111
 정찬헌,8,8,7,2,3,2,0,0,5,0,1,0,0,0,0,0,0,0.429,0.500,0.714,1.214,29,1.18,1.72,0.105
 플럿코,3,3,2,1,1,1,0,0,2,2,0,0,0,1,0,0,1,0.500,0.333,1.000,1.333,11,1.58,0.67,0.097
 엄상백,8,8,7,1,3,0,0,1,6,2,1,0,0,2,0,0,0,0.429,0.500,0.857,1.357,28,1.27,0.77,0.096
 이승현,5,5,5,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,28,2.64,0.10,0.093
 장현식,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,14,1.65,1.46,0.089
 폰트,3,3,3,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,10,0.85,0.71,0.086
 이현승,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.37,1.00,0.083
 조요한,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.18,0.62,0.081
 신민혁,7,7,5,1,2,0,0,0,2,1,2,0,0,1,0,0,0,0.400,0.571,0.400,0.971,26,1.27,0.89,0.077
 고영표,9,9,9,1,3,0,0,1,6,2,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,28,1.02,1.42,0.071
 한현희,3,3,3,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,15,1.01,0.35,0.065
 임기영,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.81,0.81,0.065
 한승혁,6,6,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,22,1.15,0.48,0.057
 이승진,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.68,0.84,0.054
 김명신,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,1.99,-0.26,0.053
 수아레즈,5,5,5,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,24,1.41,0.69,0.050
 김유영,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,1.05,0.85,0.047
 이창재,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.78,0.55,0.041
 최원태,7,7,7,2,3,0,0,1,6,2,0,0,0,1,0,0,0,0.429,0.429,0.857,1.286,21,1.52,0.92,0.039
 이태양,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,8,1.49,0.39,0.039
 이민석,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,0.41,1.00,0.034
 애플러,6,6,6,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.167,0.167,0.667,0.834,15,0.74,-0.14,0.034
 한두솔,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.83,0.67,0.031
