Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박준표,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,4.46,1.20,0.365
 정우영,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,3.60,1.33,0.240
 김명신,4,4,2,1,2,1,0,0,3,0,2,0,0,0,0,0,0,1.000,1.000,1.500,2.500,16,1.35,1.37,0.219
 원태인,9,9,9,1,2,0,0,1,5,4,0,0,0,3,0,0,0,0.222,0.222,0.556,0.778,32,1.14,1.04,0.215
 양현,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,2.57,3.15,0.211
 애플러,7,7,6,2,3,0,0,1,6,2,1,0,0,0,0,0,0,0.500,0.571,1.000,1.571,28,1.18,1.47,0.157
 이현승,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.25,1.07,0.147
 서준원,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,2.03,1.09,0.129
 이준영,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,1.09,0.36,0.108
 곽빈,6,6,4,1,1,0,0,1,4,1,2,0,0,2,0,0,0,0.250,0.500,1.000,1.500,27,0.74,0.94,0.086
 김윤식,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.14,1.00,0.082
 최영환,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,10,0.57,1.31,0.076
 백정현,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.23,0.55,0.073
 윤중현,2,1,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,4,2.31,1.30,0.073
 스파크맨,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,1.04,0.70,0.071
 장현식,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.38,0.81,0.070
 김광현,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,0.77,0.86,0.063
 황동재,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.60,0.66,0.058
