Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 주권,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,1.83,1.01,0.149
 김건태,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.59,0.70,0.126
 최민준,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,17,0.94,-0.22,0.081
 김윤수,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2,1.41,0.24,0.070
 이승현,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.49,1.00,0.065
 이재학,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,1.000,,,14,2.96,0.79,0.062
 미란다,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,8,1.42,0.32,0.048
 손주영,3,3,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,15,0.93,0.58,0.046
 데스파이네,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,0.32,0.94,0.042
 백정현,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,6,0.69,0.24,0.041
 윤대경,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.04,0.33,0.035
 이태양,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.50,0.45,0.032
 임기영,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.86,0.24,0.026
 류진욱,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.03,0.11,0.024
 송명기,5,5,3,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0.667,0.800,0.667,1.467,17,0.36,0.77,0.021
 권휘,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,1.42,0.44,0.015
 고영표,3,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,7,0.58,-0.10,0.014
 하준호,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2,0.39,0.41,0.011
 조민석,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,4.65,0.13,0.010
 홍상삼,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,8,0.41,-0.11,0.008
 반즈,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,14,1.31,-0.19,0.006
 안영명,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,5,0.20,0.08,0.005
 최성훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.14,0.21,0.005
 김명신,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.20,0.21,0.004
 김재열,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.06,0.22,0.003
 김민수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,0.11,0.000
 이충호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.61,0.000
 이민우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.25,-0.001
 문동주,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.03,-0.20,-0.001
 신정락,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,3,0.19,0.24,-0.001
 김현준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.11,-0.17,-0.003
 장시환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.14,-0.09,-0.004
 박신지,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.14,-0.09,-0.004
 모리만도,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.17,0.07,-0.006
 임찬규,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,16,0.72,-0.34,-0.009
 로니,3,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,13,1.04,-0.22,-0.013
 뷰캐넌,5,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,12,0.88,-0.78,-0.016
 한승주,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.64,-0.20,-0.018
 김강률,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.75,-0.25,-0.019
 김태경,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.83,-0.25,-0.021
 놀린,3,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000,0.333,0.000,0.333,15,0.59,0.07,-0.021
 구승민,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.44,-0.49,-0.023
 박민호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,1.22,-0.34,-0.030
 루친스키,3,3,3,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,11,1.02,-0.26,-0.030
 원종현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.32,-0.25,-0.034
 오원석,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,13,0.66,-0.56,-0.037
 이영하,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,1.64,-0.34,-0.040
 박윤철,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.83,-0.43,-0.041
 노경은,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,3,0.80,-0.83,-0.043
 이정용,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.80,-0.17,-0.045
 정우영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,1.85,-0.17,-0.046
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.85,-0.17,-0.046
 박세웅,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,1.09,-0.51,-0.053
 수아레즈,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,6,1.39,-0.55,-0.058
 이의리,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,13,1.09,-0.47,-0.059
 폰트,5,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.200,0.000,0.200,19,0.81,-0.67,-0.064
 최원준,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,14,0.91,-0.63,-0.071
 최승용,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,1.52,-0.63,-0.073
 김민우,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.50,-0.67,-0.077
 김윤식,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,6,0.79,-0.63,-0.078
 정해영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,3.44,-0.37,-0.081
 전상현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,2.86,-0.69,-0.085
