Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박주성,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,1.32,1.00,0.413
 하영민,4,4,4,2,2,0,0,2,8,6,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,12,1.96,3.97,0.388
 라미레즈,8,8,7,2,4,0,0,2,10,4,1,0,0,0,0,0,0,0.571,0.625,1.429,2.054,28,1.08,3.56,0.371
 루친스키,10,10,10,2,5,1,0,1,9,3,0,0,0,0,0,0,0,0.500,0.500,0.900,1.400,29,0.87,2.97,0.364
 이승현,5,5,4,1,1,0,0,1,4,2,1,0,0,2,0,0,0,0.250,0.400,1.000,1.400,22,1.22,1.02,0.296
 김민우,8,8,7,3,4,2,0,0,6,4,1,0,0,2,0,0,0,0.571,0.625,0.857,1.482,39,0.99,2.81,0.285
 김강률,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,3.94,1.12,0.282
 데스파이네,11,11,10,2,5,0,0,1,8,3,1,0,1,2,0,0,0,0.500,0.545,0.800,1.345,52,1.07,2.43,0.281
 로니,3,3,3,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,7,1.85,1.52,0.242
 백정현,10,10,10,2,3,0,0,2,9,4,0,0,0,0,0,0,0,0.300,0.300,0.900,1.200,31,1.13,1.79,0.241
 최원준,6,6,6,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.333,0.333,0.833,1.166,17,1.07,3.01,0.220
 신민혁,3,2,2,1,2,0,0,1,5,2,1,0,1,0,0,0,0,1.000,1.000,2.500,3.500,8,1.01,1.84,0.211
 정철원,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.94,0.04,0.202
 벤자민,2,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,5,0.84,2.12,0.190
 김범수,5,5,4,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,20,1.01,1.24,0.156
 뷰캐넌,9,9,9,1,3,1,0,0,4,2,0,0,0,1,0,0,0,0.333,0.333,0.444,0.777,27,1.04,1.40,0.153
 파노니,7,7,6,3,3,0,0,1,6,3,1,0,0,1,1,0,0,0.500,0.571,1.000,1.571,20,1.00,1.30,0.147
 정찬헌,5,5,4,1,3,1,0,1,7,2,1,0,0,0,0,0,0,0.750,0.800,1.750,2.550,15,0.56,2.18,0.147
 수아레즈,12,12,12,3,4,2,0,0,6,1,0,0,0,0,0,0,0,0.333,0.333,0.500,0.833,38,0.83,2.50,0.146
 김건태,2,2,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,1.91,1.74,0.143
 반즈,12,12,12,0,4,2,0,0,6,4,0,0,0,5,0,0,0,0.333,0.333,0.500,0.833,54,0.85,1.44,0.143
 킹험,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,11,1.06,1.64,0.135
 고효준,4,4,3,0,2,0,1,0,4,3,1,0,0,0,0,0,0,0.667,0.750,1.333,2.083,18,0.80,2.70,0.112
 서준원,2,2,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.85,2.06,0.107
 김영규,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.66,1.01,0.104
 스탁,6,6,6,1,3,0,1,0,5,1,0,0,0,1,0,0,0,0.500,0.500,0.833,1.333,21,1.33,1.13,0.102
 스트레일리,5,5,5,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,20,0.96,1.01,0.101
 엄상백,7,7,6,1,1,0,0,1,4,3,1,0,0,3,0,0,0,0.167,0.286,0.667,0.953,37,0.88,0.82,0.101
 김시훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.48,0.41,0.098
 류진욱,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.98,0.72,0.090
 장민재,8,8,6,0,4,0,0,0,4,0,2,0,0,0,0,0,0,0.667,0.750,0.667,1.417,31,0.77,0.63,0.086
 박신지,4,4,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,19,0.80,1.00,0.084
 김태훈,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.34,1.11,0.080
 김윤수,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.54,0.74,0.078
 최하늘,2,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,0.84,1.17,0.073
 임창민,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.03,0.43,0.073
 고영표,14,14,12,3,4,1,0,0,5,2,1,1,0,2,1,0,0,0.333,0.429,0.417,0.846,57,1.14,0.75,0.067
 장시환,4,4,2,1,1,1,0,0,2,1,2,0,0,1,0,0,0,0.500,0.750,1.000,1.750,25,0.83,1.60,0.061
 원종현,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.60,0.87,0.060
 문용익,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.41,1.25,0.059
 애플러,5,5,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,16,0.68,0.52,0.051
 최원태,4,4,4,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.250,0.250,1.000,1.250,12,0.85,1.14,0.046
