Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김재윤,3,3,3,1,2,1,0,1,6,3,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,6,4.18,0.18,0.713
 구승민,3,3,3,1,2,0,0,1,5,3,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,11,0.88,2.71,0.362
 원태인,6,6,6,2,3,0,0,1,6,3,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,20,1.20,2.09,0.281
 스탁,9,9,7,1,3,0,0,1,6,2,2,0,0,1,1,0,0,0.429,0.556,0.857,1.413,30,1.30,1.75,0.266
 놀린,7,7,7,1,6,1,0,1,10,1,0,0,0,1,0,0,0,0.857,0.857,1.429,2.286,25,0.58,2.68,0.232
 이인복,5,5,5,2,2,0,0,1,5,4,0,0,0,2,1,0,0,0.400,0.400,1.000,1.400,23,1.25,1.49,0.219
 이의리,9,9,7,2,4,0,0,1,7,2,2,0,0,2,0,0,0,0.571,0.667,1.000,1.667,34,1.00,2.01,0.166
 박준영,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,1.36,2.05,0.151
 최영환,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.37,1.30,0.140
 허윤동,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,1.68,1.13,0.126
 윤중현,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.01,1.25,0.125
 이민호,4,4,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0.500,0.500,0.500,1.000,19,1.39,0.77,0.119
 최원준,6,6,5,1,3,1,0,0,4,0,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,18,1.11,1.25,0.118
 데스파이네,9,9,7,3,4,2,0,1,9,4,1,0,0,0,0,0,1,0.571,0.556,1.286,1.842,35,0.73,3.87,0.114
 강효종,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.35,1.13,0.105
 황동재,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,1.15,0.91,0.105
 이승현,2,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,2.79,0.42,0.099
 김재영,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,0.65,1.78,0.098
 윤호솔,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,3.34,0.41,0.094
 배재준,5,5,4,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,26,0.86,-0.10,0.091
 박세웅,5,5,5,1,3,1,0,1,7,3,0,0,0,2,0,0,0,0.600,0.600,1.400,2.000,26,0.77,1.53,0.089
 김윤식,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.01,1.39,0.078
 김종수,3,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0.000,0.333,0.000,0.333,14,1.27,-1.78,0.077
 김윤수,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,12,1.73,1.19,0.071
 문성현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.54,0.41,0.068
 반즈,5,5,4,0,2,0,0,0,2,0,0,1,0,2,0,0,0,0.500,0.600,0.500,1.100,20,0.90,0.38,0.063
 이영준,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1.000,,,6,1.70,0.51,0.063
 김정빈,3,3,3,1,1,1,0,0,2,2,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,15,0.57,0.51,0.062
 오원석,3,3,3,1,2,2,0,0,4,0,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,10,0.72,1.04,0.061
 김준형,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,1.45,0.41,0.060
 정우영,3,2,2,0,2,0,0,0,2,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,4,0.88,0.23,0.058
 김태훈,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,2.25,0.07,0.053
 박윤철,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.11,0.51,0.052
 이승진,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.75,0.74,0.048
 브랜든,5,5,5,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.200,0.200,0.800,1.000,19,1.54,0.60,0.047
 서진용,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.98,0.84,0.045
 이민우,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,10,0.64,0.02,0.045
 박시영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.97,0.29,0.045
 스파크맨,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.97,0.41,0.041
 요키시,6,5,5,0,3,1,0,0,4,1,0,0,0,0,1,1,0,0.600,0.600,0.800,1.400,26,1.25,0.94,0.039
 임찬규,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.92,0.41,0.037
 한승주,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.46,1.51,0.032
 배제성,8,8,7,1,2,0,0,0,2,0,1,0,0,0,1,0,0,0.286,0.375,0.286,0.661,22,0.54,0.26,0.024
 임준형,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,13,0.55,-0.09,0.022
 김도규,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.33,0.92,0.021
 이명종,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,0.23,0.66,0.018
 박종훈,5,5,4,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,23,0.91,-0.07,0.017
