Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 주현상,7,7,7,2,3,1,0,1,7,3,0,0,0,1,0,0,0,0.429,0.429,1.000,1.429,27,0.82,2.39,0.525
 김재윤,5,5,3,3,1,0,0,1,4,1,2,0,0,1,0,0,0,0.333,0.600,1.333,1.933,21,1.85,-0.03,0.464
 라미레즈,6,6,4,2,3,1,0,0,4,1,2,0,0,0,0,0,0,0.750,0.833,1.000,1.833,27,0.98,2.99,0.333
 박영현,2,2,2,2,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,9,1.06,2.33,0.266
 곽빈,9,9,7,1,4,0,0,0,4,0,2,0,0,0,0,0,0,0.571,0.667,0.571,1.238,32,0.82,1.33,0.197
 고영표,14,14,12,0,4,0,0,0,4,4,1,0,0,1,0,0,1,0.333,0.357,0.333,0.690,46,1.27,0.92,0.191
 최하늘,3,3,3,2,3,0,0,1,6,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,12,1.01,2.96,0.184
 한현희,7,7,6,1,4,0,0,1,7,1,1,0,0,0,0,0,0,0.667,0.714,1.167,1.881,25,0.88,1.78,0.169
 김민우,8,8,7,1,3,3,0,0,6,2,1,0,0,0,0,0,0,0.429,0.500,0.857,1.357,27,0.67,1.49,0.151
 노운현,2,2,2,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.95,1.30,0.150
 윤호솔,2,2,2,1,1,1,0,0,2,2,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,10,0.72,1.72,0.132
 정찬헌,5,5,5,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0.600,0.600,1.200,1.800,12,0.68,2.07,0.131
 류진욱,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,12,1.15,1.18,0.125
 이명종,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,2,1.62,1.67,0.122
 파슨스,5,5,3,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0.667,0.800,0.667,1.467,20,0.77,1.14,0.108
 김강률,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,5,3.44,0.08,0.106
 로니,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,0.78,0.91,0.103
 김진욱,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,11,0.87,1.21,0.097
 하영민,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1,0.97,0.95,0.091
 김준형,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,3.04,0.41,0.080
 폰트,9,9,9,0,4,2,0,0,6,2,0,0,0,0,0,0,0,0.444,0.444,0.667,1.111,26,1.35,0.87,0.078
 진명호,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,1.69,-0.02,0.076
 장현식,2,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.77,1.84,0.074
 박세웅,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.93,0.76,0.069
 이영하,5,5,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,25,1.34,0.40,0.063
 김종수,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.83,0.66,0.059
 이태양,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,13,1.01,0.47,0.056
 뷰캐넌,9,9,8,1,2,0,0,1,5,3,0,0,0,1,0,0,1,0.250,0.222,0.625,0.847,31,1.01,-0.21,0.055
 루친스키,8,8,7,1,3,0,0,0,3,0,1,0,0,2,0,0,0,0.429,0.500,0.429,0.929,32,0.78,0.54,0.053
 나균안,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,2.36,0.20,0.053
 최승용,4,3,3,0,1,1,0,0,2,1,0,0,0,0,1,1,0,0.333,0.333,0.667,1.000,13,0.77,-1.00,0.050
 윤산흠,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,10,0.67,0.66,0.047
