Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 임창민,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,2.59,1.71,0.474
 오승환,6,6,6,0,2,0,1,0,4,3,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,18,2.02,1.68,0.444
 이영하,8,8,5,1,2,0,0,0,2,4,2,0,0,1,0,0,1,0.400,0.500,0.400,0.900,36,1.27,2.69,0.314
 애플러,7,7,6,4,4,2,1,0,8,1,1,0,0,1,0,0,0,0.667,0.714,1.333,2.047,32,0.63,3.91,0.253
 벤자민,3,3,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,6,1.55,1.58,0.237
 스트레일리,5,5,4,1,3,1,0,0,4,2,1,0,0,0,0,0,0,0.750,0.800,1.000,1.800,19,1.03,2.86,0.223
 문동주,2,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,7,1.58,2.24,0.197
 박신지,5,4,4,1,2,1,0,0,3,2,0,0,0,0,0,1,0,0.500,0.500,0.750,1.250,22,1.20,1.66,0.189
 장민재,6,6,6,1,4,0,0,0,4,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,18,0.74,1.92,0.182
 수아레즈,13,13,13,0,5,0,0,0,5,1,0,0,0,2,0,0,0,0.385,0.385,0.385,0.770,50,1.13,1.62,0.179
 김태훈,4,4,4,0,2,1,0,0,3,3,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,16,2.94,1.89,0.162
 남지민,5,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.200,0.000,0.200,20,0.92,1.54,0.143
 로니,2,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,8,0.75,2.00,0.141
 홍건희,6,6,5,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,19,1.83,0.39,0.139
 김기중,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.13,1.73,0.133
 김원중,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,4.80,0.63,0.133
 윤명준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,3.27,0.58,0.127
 김진욱,7,7,6,1,2,0,0,0,2,1,0,1,0,2,0,0,0,0.333,0.429,0.333,0.762,27,1.15,0.90,0.124
 김영규,4,4,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,13,1.02,1.46,0.117
 주권,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.31,0.66,0.103
 정우영,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,1.01,1.11,0.093
 윤정현,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.16,1.13,0.092
 강윤구,3,3,3,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,8,0.61,1.24,0.088
 데스파이네,10,10,10,3,5,0,0,0,5,0,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,34,1.05,0.33,0.082
 최충연,2,2,2,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,6,2.15,-0.83,0.075
 김시훈,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,19,0.71,1.05,0.073
