Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 윤대경,4,4,4,0,3,0,1,0,5,1,0,0,0,0,0,0,0,0.750,0.750,1.250,2.000,11,1.38,-0.27,0.405
 임기영,10,10,8,2,3,1,0,1,7,3,1,0,0,1,0,0,1,0.375,0.400,0.875,1.275,47,0.99,2.52,0.392
 장지훈,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.93,0.83,0.360
 최원준,12,12,11,2,6,1,0,1,10,3,1,0,0,1,0,0,0,0.545,0.583,0.909,1.492,50,0.98,3.60,0.340
 정철원,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,2.29,1.35,0.329
 최원태,13,13,13,1,7,2,0,0,9,1,0,0,0,2,1,0,0,0.538,0.538,0.692,1.230,48,0.85,1.30,0.267
 김유영,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.24,1.17,0.251
 이재익,4,4,3,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,22,1.28,0.62,0.244
 고효준,4,4,3,0,2,0,0,0,2,1,1,0,0,1,0,0,0,0.667,0.750,0.667,1.417,20,1.24,1.85,0.206
 스파크맨,5,5,4,1,3,0,0,1,6,1,1,0,0,0,0,0,0,0.750,0.800,1.500,2.300,23,0.84,1.70,0.189
 김광현,9,9,7,0,3,0,0,0,3,0,2,0,0,2,0,0,0,0.429,0.556,0.429,0.985,34,0.89,0.87,0.172
 요키시,7,7,6,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0.333,0.429,0.333,0.762,29,1.04,1.53,0.155
 이승현,3,3,3,2,2,0,1,0,4,3,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,11,0.95,2.31,0.137
 김건우,2,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,4,0.62,1.41,0.135
 진해수,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,13,1.28,0.79,0.126
 이승현,5,5,5,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,26,1.17,0.06,0.119
 이의리,15,15,13,1,2,1,0,0,3,3,2,0,0,1,0,0,0,0.154,0.267,0.231,0.498,62,1.00,0.79,0.117
 최동환,3,3,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,22,0.61,1.37,0.108
 양현종,6,6,6,1,2,1,1,0,5,1,0,0,0,1,0,0,0,0.333,0.333,0.833,1.166,25,1.02,1.09,0.106
 파노니,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,1.19,1.17,0.104
 이영하,6,6,5,1,4,1,0,0,5,0,1,0,0,0,0,0,0,0.800,0.833,1.000,1.833,21,0.68,1.32,0.102
 백정현,6,6,6,1,3,2,0,0,5,1,0,0,0,1,0,0,0,0.500,0.500,0.833,1.333,24,0.81,0.75,0.098
 서진용,3,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.87,1.63,0.098
 장시환,4,4,4,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,14,2.77,0.48,0.095
 장현식,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.10,0.83,0.088
 조요한,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,2.16,0.41,0.087
 고우석,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,13,3.30,0.16,0.072
 데스파이네,10,10,10,1,3,1,0,0,4,1,0,0,0,2,0,0,0,0.300,0.300,0.400,0.700,37,0.79,-0.20,0.068
 양창섭,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.17,0.67,0.067
 최영환,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.87,1.01,0.066
 박윤철,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,10,0.98,0.61,0.060
 플럿코,6,6,6,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,15,0.77,0.81,0.060
 김명신,5,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,20,0.80,-0.55,0.058
 이우찬,5,5,4,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0.250,0.400,0.250,0.650,21,0.81,0.31,0.056
 김윤식,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.42,0.72,0.054
 최민준,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,14,0.62,0.32,0.053
 전상현,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.58,0.30,0.053
