Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 오원석,7,7,6,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0.500,0.571,0.500,1.071,23,1.35,2.49,0.308
 최준용,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,3.03,0.30,0.173
 노바,6,6,6,1,2,1,0,0,3,3,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,21,1.12,1.36,0.157
 고영표,12,12,12,1,5,0,0,0,5,1,0,0,0,2,0,0,0,0.417,0.417,0.417,0.834,34,1.00,1.27,0.148
 윤태현,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,2.98,0.69,0.139
 애플러,6,6,6,2,4,1,0,0,5,0,0,0,0,1,0,0,0,0.667,0.667,0.833,1.500,20,0.61,1.42,0.112
 이인복,6,6,6,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0.500,0.500,0.667,1.167,13,1.13,1.31,0.106
 조요한,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.48,0.41,0.098
 김재열,2,2,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,0.96,0.68,0.077
 문동주,3,3,2,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,15,1.10,0.97,0.069
 반즈,3,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,6,1.25,0.53,0.069
 주권,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.07,0.41,0.068
 한승혁,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,8,1.51,0.71,0.068
 박세웅,3,3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,15,0.66,1.28,0.061
 이준영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.88,0.32,0.032
 김태훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.65,0.29,0.031
 고효준,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.44,-0.08,0.031
 폰트,10,10,8,3,5,0,0,0,5,1,2,0,0,1,0,0,0,0.625,0.700,0.625,1.325,53,0.79,0.76,0.028
 주현상,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,11,0.34,1.72,0.026
 최원태,6,6,5,3,2,1,0,0,3,0,1,0,0,1,0,0,0,0.400,0.500,0.600,1.100,30,0.81,-0.02,0.025
 이재민,2,2,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,3,0.17,2.18,0.022
 정찬헌,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,1.27,0.44,0.020
 이민호,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.87,0.15,0.014
 유승철,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.50,0.11,0.014
 이건욱,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.27,0.19,0.013
 원종현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.47,0.11,0.013
 박승주,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,0.37,0.73,0.012
 한두솔,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.26,0.82,0.012
 구승민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.45,0.10,0.012
 최성훈,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.72,0.18,0.009
 장재영,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.18,0.11,0.005
