Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이준영,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,2.23,1.30,0.241
 최준용,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,14,3.02,0.40,0.152
 장현식,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,2.30,0.62,0.141
 페냐,4,4,4,2,3,1,0,1,7,1,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,15,0.88,1.41,0.140
 이재학,4,4,4,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0.500,0.500,0.750,1.250,12,0.93,0.53,0.113
 루친스키,7,7,7,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.286,0.286,0.286,0.572,24,0.86,1.52,0.104
 이인복,4,4,4,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0.250,0.250,0.500,0.750,13,1.03,0.61,0.100
 정찬헌,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.25,0.57,0.090
 박준표,3,3,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0.500,0.667,1.000,1.667,8,1.46,1.27,0.085
 문동주,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.77,0.72,0.069
 이민호,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.33,0.56,0.067
 반즈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,2.46,0.55,0.047
 장시환,3,3,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,16,1.81,0.01,0.042
 하준영,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,0.59,0.35,0.041
 노바,5,5,3,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0.333,0.600,0.333,0.933,17,0.92,0.65,0.040
 폰트,5,5,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,24,0.65,-0.03,0.039
 플럿코,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.68,0.32,0.026
 이용준,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.33,0.94,0.025
 우규민,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.59,0.01,0.022
 하영민,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.20,0.90,0.018
 박종훈,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.54,0.20,0.017
 함덕주,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.42,0.58,0.016
 임찬규,5,5,5,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,18,1.05,0.28,0.015
 정우영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.36,0.10,0.009
 애플러,7,7,6,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0.167,0.286,0.167,0.453,23,0.76,-0.24,0.009
 진해수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2,0.22,0.11,0.009
 서진용,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.97,0.32,0.007
 김재열,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.04,2.68,0.005
 양창섭,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.77,0.12,0.004
 장지훈,2,2,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,8,0.12,0.29,0.004
 박민호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.09,0.41,0.004
