Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 윤대경,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.94,1.00,0.245
 벤자민,3,3,2,1,1,0,0,1,4,1,1,0,0,1,0,0,0,0.500,0.667,2.000,2.667,11,1.17,0.79,0.202
 신민혁,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.76,0.32,0.039
 장민재,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.87,0.21,0.028
 페냐,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.04,0.24,0.028
 최하늘,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,1.09,0.47,0.026
 한현희,6,6,6,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,23,0.59,-0.25,0.023
 김범수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,5,0.62,0.29,0.023
 양현종,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.53,0.41,0.021
 플럿코,5,5,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.400,0.000,0.400,28,0.77,0.11,0.020
 소형준,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.95,0.03,0.007
 이준영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.29,0.21,0.006
 박승주,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,0.04,1.13,0.004
 김건우,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.00,0.29,0.000
 이형범,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.25,0.000
 최성훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.11,-0.35,-0.001
 신재영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.06,-0.25,-0.002
 최민준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.15,-0.25,-0.004
 백승현,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.09,-0.94,-0.005
 김현준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.18,-0.47,-0.005
 장재영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.16,-0.20,-0.005
 이의리,5,5,5,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,20,0.31,0.33,-0.008
 노경은,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.89,-0.15,-0.009
 김진호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.35,-0.09,-0.009
 김광현,3,3,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,16,1.19,-0.14,-0.010
 애플러,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,12,0.87,-0.22,-0.012
 김영규,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.78,-0.09,-0.020
 주권,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.80,-0.09,-0.021
 이정용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.88,-0.25,-0.022
 스탁,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,14,0.49,-0.34,-0.024
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.25,-0.17,-0.031
 전상현,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.69,-0.26,-0.036
 이영하,3,3,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,14,1.62,-0.69,-0.036
 파노니,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,13,0.76,-0.51,-0.038
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,1.54,-0.25,-0.039
 고효준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.57,-0.17,-0.039
 홍건희,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.77,-0.46,-0.040
 윤중현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.64,-0.34,-0.040
 오승환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.64,-0.41,-0.042
 정해영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,4,1.18,-0.54,-0.045
 장필준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.80,-0.17,-0.045
