Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 오승환,2,2,2,2,2,0,0,2,8,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,8,2.25,0.74,0.708
 스트레일리,6,6,5,1,3,0,0,1,6,3,1,0,0,0,0,0,0,0.600,0.667,1.200,1.867,19,1.32,2.98,0.436
 하영민,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,2,1.50,-0.91,0.363
 고우석,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.25,2.59,0.362
 장민재,4,4,4,2,2,0,0,2,8,3,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,20,0.81,2.38,0.301
 정우영,4,4,3,1,2,0,0,0,2,1,1,0,1,0,0,0,0,0.667,0.750,0.667,1.417,14,1.43,1.97,0.221
 구승민,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,2.90,0.93,0.207
 황동재,8,8,7,2,3,1,0,1,7,6,0,0,0,1,0,0,1,0.429,0.375,1.000,1.375,41,0.85,2.34,0.184
 임찬규,4,4,4,2,2,1,0,1,6,2,0,0,0,1,0,0,0,0.500,0.500,1.500,2.000,15,1.07,1.39,0.163
 백승현,2,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,8,2.58,1.33,0.162
 문성현,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,2.15,0.52,0.149
 폰트,3,3,3,2,2,0,0,1,5,1,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,9,0.91,1.31,0.129
 김태훈,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,3.02,0.91,0.128
 이재학,3,3,2,2,1,0,0,1,4,3,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,10,0.77,1.71,0.122
 서동민,2,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,1.87,0.57,0.103
 페냐,6,6,5,0,2,0,1,0,4,1,0,1,0,2,0,0,0,0.400,0.500,0.800,1.300,18,1.02,1.05,0.099
 김민우,6,5,5,1,2,1,0,0,3,1,1,0,1,0,0,0,0,0.400,0.500,0.600,1.100,15,0.81,0.32,0.093
 정철원,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,0.84,0.28,0.084
 반즈,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,13,0.94,0.43,0.081
 애플러,3,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,9,1.23,0.57,0.080
 우규민,3,3,3,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,11,1.40,0.42,0.078
 김선기,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,1.15,0.45,0.073
 김태경,4,4,4,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0.250,0.250,0.250,0.500,17,0.67,-0.69,0.059
 한현희,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,13,1.06,0.35,0.054
 장시환,3,3,2,2,1,1,0,0,2,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,13,1.18,0.82,0.050
 더모디,5,5,5,1,3,1,0,0,4,0,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,32,0.45,0.54,0.046
 박정수,4,4,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,12,0.63,0.60,0.040
 박신지,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,0.83,-0.05,0.031
 유승철,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.56,1.22,0.024
 이승진,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,13,1.11,0.76,0.022
 이재익,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.29,0.66,0.022
 류진욱,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,0.18,-0.33,0.016
 김정빈,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.14,1.59,0.012
 김재영,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,4,0.44,0.41,0.012
 최동환,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.29,0.41,0.011
 김시훈,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,9,0.16,1.00,0.011
 김유신,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.26,0.41,0.010
 양현종,3,3,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,16,0.70,0.30,0.009
 이민석,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.18,0.94,0.009
 플럿코,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,6,1.20,0.03,0.009
 박치국,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.57,0.53,0.009
 스파크맨,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,11,1.41,-0.20,0.009
 이민우,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.87,-0.31,0.009
 김윤식,6,6,6,0,1,1,0,0,2,1,0,0,0,4,0,0,0,0.167,0.167,0.333,0.500,23,0.89,0.05,0.005
 김택형,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.72,0.10,0.004
 고효준,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.11,0.15,0.003
 전사민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.06,0.41,0.002
 이승현,2,2,2,0,1,1,0,0,2,3,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,6,0.04,1.63,0.001
 김윤수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.05,0.21,0.001
 전창민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.03,0.41,0.001
 이용찬,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.02,0.11,0.001
 최충연,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,1,0.02,0.08,0.000
 김영규,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.17,0.000
 김재열,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.00,-0.09,0.000
 김진호,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,17,0.02,-0.82,-0.001
 이용준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.44,-0.002
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.08,-0.41,-0.002
 김도현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.10,-0.25,-0.003
 윤명준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.09,-0.64,-0.004
 켈리,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,11,0.56,-0.04,-0.005
 이강준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.21,-0.41,-0.005
 이형범,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.20,-0.50,-0.006
 라미레즈,5,5,3,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0.333,0.600,0.333,0.933,23,0.89,-0.11,-0.007
 김종수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.23,-0.20,-0.007
 강재민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.32,-0.34,-0.008
 송은범,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.77,-0.35,-0.009
 임창민,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.17,-0.42,-0.009
 모리만도,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.43,-0.06,-0.011
 김도규,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.72,-0.17,-0.018
 김대유,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.80,-0.37,-0.019
 장지수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.78,-0.17,-0.019
 정찬헌,6,6,6,1,1,0,0,1,4,2,0,0,0,2,0,0,0,0.167,0.167,0.667,0.834,15,1.85,-0.94,-0.020
 한승혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.93,-0.25,-0.024
 김범수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.98,-0.25,-0.025
 브랜든,6,6,5,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.167,0.000,0.167,29,0.68,-0.50,-0.025
 원종현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.76,-0.79,-0.027
 요키시,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,16,0.68,-0.14,-0.029
 장지훈,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,0.35,-0.37,-0.029
 김명신,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,12,0.66,-0.51,-0.032
 스탁,5,5,5,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0.200,0.200,0.400,0.600,29,1.17,-0.85,-0.032
 이우찬,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,11,0.64,-0.37,-0.034
 배재준,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.72,-0.34,-0.037
 이상민,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,1.13,0.66,-0.039
 놀린,6,6,6,1,2,0,0,0,2,0,0,0,0,4,0,0,0,0.333,0.333,0.333,0.666,24,1.03,-0.23,-0.040
 이태양,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.80,-0.34,-0.041
 김재웅,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,1.50,-0.20,-0.043
 이준영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.72,-0.41,-0.044
 이정용,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.97,-0.54,-0.046
 최준용,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,19,0.83,-1.15,-0.047
 김동혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,1.85,-0.41,-0.047
 노바,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.08,-0.20,-0.050
 뷰캐넌,13,13,10,1,3,0,0,0,3,1,1,1,0,2,0,0,1,0.300,0.385,0.300,0.685,55,0.84,-0.71,-0.050
 남하준,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,1.00,0.04,-0.051
 박종훈,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,1.10,-0.58,-0.056
 김광현,3,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,14,1.73,-0.61,-0.058
 안우진,6,6,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.200,0.333,0.200,0.533,16,0.84,-0.55,-0.060
 송명기,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,14,0.57,-0.66,-0.061
 홍정우,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,10,1.17,-0.77,-0.065
 이민호,4,4,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.250,0.000,0.250,22,1.24,-0.28,-0.072
 최하늘,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,1.50,-0.43,-0.073
 이영준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,2.98,-0.41,-0.077
 신민혁,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,17,1.10,-0.67,-0.082
 파노니,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,1.16,-0.68,-0.088
 원태인,9,9,9,1,3,1,0,0,4,0,0,0,0,2,0,0,0,0.333,0.333,0.444,0.777,43,0.78,-0.69,-0.088
 윤산흠,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,1.98,-0.96,-0.098
 문승원,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,7,1.92,-0.58,-0.099
 최승용,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,17,0.91,-1.07,-0.100
 박세웅,6,6,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.167,0.000,0.167,27,0.77,-1.09,-0.107
 노경은,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,12,2.14,-0.61,-0.117
 구창모,10,10,9,1,2,1,0,0,3,0,1,0,0,3,1,0,0,0.222,0.300,0.333,0.633,39,0.76,-0.90,-0.145
 오원석,11,11,10,0,2,0,0,0,2,0,1,0,0,2,0,0,0,0.200,0.273,0.200,0.473,43,0.88,-1.33,-0.159
 백정현,4,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.250,0.250,0.250,0.500,14,1.68,-1.82,-0.176
 최원준,12,12,11,2,1,0,0,1,4,1,1,0,0,5,0,0,0,0.091,0.167,0.364,0.531,44,1.16,-1.38,-0.256
