Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 장시환,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,11,1.90,0.91,0.358
 최민준,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,18,1.79,1.71,0.324
 서진용,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,2.84,-0.84,0.321
 임창민,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,2.61,1.59,0.299
 소형준,6,6,5,1,2,0,0,1,5,4,0,1,0,1,0,0,0,0.400,0.500,1.000,1.500,22,1.27,2.65,0.231
 김재윤,4,3,2,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0.500,0.750,0.500,1.250,9,2.95,0.57,0.206
 반즈,9,9,7,3,2,0,0,2,8,4,2,0,0,0,0,0,0,0.286,0.444,1.143,1.587,35,1.09,2.01,0.192
 최원준,13,13,10,0,3,0,0,0,3,3,2,1,0,2,0,0,0,0.300,0.462,0.300,0.762,55,1.26,2.18,0.191
 남지민,11,11,9,3,4,1,0,0,5,2,0,1,0,0,0,0,1,0.444,0.455,0.556,1.011,28,1.01,1.23,0.183
 스탁,7,7,5,1,3,0,0,0,3,2,2,0,0,0,0,0,0,0.600,0.714,0.600,1.314,38,0.83,2.26,0.175
 박준영,3,3,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,8,1.23,1.41,0.171
 데스파이네,9,9,6,2,2,0,0,0,2,2,2,0,0,0,0,0,1,0.333,0.444,0.333,0.777,29,0.95,1.23,0.168
 임기영,10,10,9,1,3,1,0,1,7,2,1,0,0,0,0,0,0,0.333,0.400,0.778,1.178,34,0.96,1.89,0.164
 정찬헌,4,4,2,1,1,0,0,1,4,2,0,1,0,0,0,0,1,0.500,0.500,2.000,2.500,12,1.17,1.50,0.160
 배제성,7,7,6,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0.167,0.286,0.333,0.619,26,0.80,0.86,0.151
 이태양,10,10,9,2,3,0,0,2,9,2,1,0,0,0,1,0,0,0.333,0.400,1.000,1.400,28,1.10,0.96,0.150
 이의리,15,15,12,1,4,0,0,1,7,3,3,0,0,5,0,0,0,0.333,0.467,0.583,1.050,59,1.27,1.62,0.149
 임찬규,2,2,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,5,1.49,1.66,0.149
 이승진,3,3,3,2,2,0,0,1,5,3,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,16,0.90,3.20,0.129
 이영하,5,5,4,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0.750,0.800,0.750,1.550,18,1.13,1.53,0.129
 박세웅,5,5,5,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,19,0.97,1.27,0.113
 김윤수,5,5,4,1,2,1,0,0,3,1,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,22,0.77,1.45,0.103
 황동재,6,6,5,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,21,0.83,1.69,0.099
 고영창,3,3,2,1,2,0,0,1,5,4,0,1,0,0,0,0,0,1.000,1.000,2.500,3.500,8,0.41,4.01,0.084
 이재익,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.47,1.10,0.076
 모리만도,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,18,0.88,0.53,0.069
 구승민,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,9,0.73,0.88,0.068
 양창섭,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.71,0.98,0.061
 뷰캐넌,9,9,7,0,2,1,0,0,3,0,1,1,0,0,0,0,0,0.286,0.444,0.429,0.873,35,1.13,0.63,0.061
 고효준,2,1,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,6,0.54,1.81,0.051
 플럿코,3,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,17,1.26,0.30,0.050
 우규민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.74,1.00,0.040
 김종수,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,16,0.69,1.35,0.040
 장현식,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.27,0.21,0.039
 김명신,3,3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.29,1.17,0.037
 이민석,3,3,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.36,2.20,0.035
 김도규,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.49,0.66,0.035
 요키시,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,0.69,1.49,0.035
 김범수,3,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.000,0.667,0.000,0.667,8,1.86,0.24,0.032
 김원중,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.56,1.00,0.032
 나균안,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.66,0.32,0.031
 주현상,3,3,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,16,0.21,0.84,0.029
 김대유,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.59,0.41,0.027
 김택형,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.29,0.69,0.026
 스파크맨,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2,1.03,0.15,0.024
 박신지,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,0.14,1.64,0.023
 이인복,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,14,0.54,-0.25,0.021
 장민재,5,5,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0.333,0.600,0.333,0.933,23,0.91,0.29,0.020
 김윤식,2,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,1.43,-0.08,0.018
 윤정현,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.40,0.41,0.015
 진명호,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,10,0.14,0.75,0.013
 김재열,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,14,0.37,0.19,0.013
 홍상삼,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,0.10,0.75,0.009
 윤명준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.21,0.41,0.008
 유승철,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.13,1.89,0.008
 이강준,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.30,0.47,0.007
 김건우,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.62,0.01,0.007
 스트레일리,3,3,3,1,2,0,0,1,5,1,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,8,0.72,2.10,0.007
 전유수,2,2,2,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,0.07,1.64,0.006
 최충연,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.08,0.45,0.005
 고우석,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,,1.000,,,9,0.08,0.29,0.005
 김선기,3,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,7,0.33,-0.12,0.003
 문경찬,3,3,2,2,1,0,0,1,4,1,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,11,0.02,1.69,0.003
 김현준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.06,0.41,0.002
 서준원,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.79,0.15,0.002
 박영현,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,9,0.01,1.00,0.002
 이채호,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.07,-0.02,0.002
 문용익,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.10,0.53,0.001
 김재영,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,1.60,1.24,0.001
 문동주,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.03,0.11,0.001
 장재영,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.01,0.82,0.001
 이상우,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.01,1.00,0.000
 박정준,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.04,0.63,0.000
 송승기,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.17,0.000
 장지훈,5,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,9,0.22,-0.80,-0.001
 이준영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.03,-0.25,-0.001
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.03,-0.09,-0.001
 이명종,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,1.25,0.08,-0.002
 최성훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.07,-0.25,-0.002
