Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이승호,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,3.09,1.93,0.351
 스파크맨,5,5,5,3,4,2,0,1,9,1,0,0,0,0,0,0,0,0.800,0.800,1.800,2.600,20,0.82,3.13,0.265
 스탁,10,10,9,1,3,0,0,0,3,3,0,1,0,2,1,0,0,0.333,0.400,0.333,0.733,37,1.17,1.72,0.241
 이의리,3,3,3,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,10,0.81,2.25,0.223
 최승용,4,3,2,2,1,0,0,1,4,2,1,0,0,0,0,1,0,0.500,0.667,2.000,2.667,17,1.12,2.14,0.222
 한승혁,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.40,1.83,0.187
 박정수,3,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,1.33,1.37,0.170
 송명기,3,3,3,0,3,1,0,0,4,0,0,0,0,0,0,0,0,1.000,1.000,1.333,2.333,10,1.07,1.32,0.162
 김태훈,2,2,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,9,1.24,1.29,0.140
 구승민,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,1.000,,,6,2.57,0.79,0.118
 뷰캐넌,17,17,17,1,5,1,0,1,9,4,0,0,0,3,0,0,0,0.294,0.294,0.529,0.823,59,0.99,0.42,0.111
 놀린,5,5,5,2,2,2,0,0,4,0,0,0,0,1,0,0,0,0.400,0.400,0.800,1.200,21,0.87,1.05,0.094
 박주성,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,17,0.93,0.64,0.092
 김영규,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.12,0.29,0.082
 이용찬,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,1.79,0.50,0.077
 윤대경,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.97,0.66,0.068
 애플러,6,6,6,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0.500,0.500,0.667,1.167,20,1.04,0.59,0.059
 최건,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,1.42,1.00,0.056
 김선기,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,1.34,0.32,0.050
 김택형,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,1.05,0.41,0.049
 김대우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.16,-0.09,0.042
 이재익,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.47,0.83,0.037
 정우영,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,12,1.12,-0.09,0.037
 한승주,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,1.69,-0.06,0.033
 이승재,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,5,0.87,0.29,0.033
 김태경,5,5,4,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0.500,0.600,0.500,1.100,18,0.81,0.33,0.031
 반즈,7,7,5,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0.200,0.429,0.200,0.629,30,0.89,0.12,0.031
 주현상,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,1.19,0.80,0.028
 김재영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.72,-0.20,0.024
 홍건희,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,2.19,0.07,0.024
 임기영,5,5,5,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,20,0.64,-0.01,0.023
 이우찬,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.66,0.29,0.021
 김윤식,6,6,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0.250,0.500,0.250,0.750,32,1.27,0.38,0.017
 최충연,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,3,0.20,0.15,0.015
 권휘,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,12,0.67,0.20,0.015
 오원석,6,6,6,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,31,0.89,0.11,0.011
 김도현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.21,0.10,0.010
 노바,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.43,0.08,0.009
 문용익,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.23,0.41,0.009
 전상현,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,12,1.17,0.07,0.005
 장시환,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,22,2.18,-0.68,0.004
 박세웅,5,5,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,18,0.83,-0.05,0.003
 이강준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.11,0.21,0.002
 최원준,5,5,4,0,1,1,0,0,2,1,0,0,0,1,0,0,1,0.250,0.200,0.500,0.700,19,1.26,0.01,0.002
 이병헌,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.05,0.41,0.002
 이명종,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.03,0.11,0.001
 최민준,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,3,1.87,-0.37,0.001
 전창민,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,1,0.02,-0.08,0.001
 서준원,3,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,10,0.16,-0.02,0.000
 윤산흠,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.00,0.29,0.000
 김진호,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.00,0.11,0.000
 전사민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.00,0.29,0.000
 최준용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.09,0.000
 박동수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.01,-0.17,0.000
