Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 데스파이네,6,6,6,1,3,0,0,1,6,3,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,24,1.51,0.42,0.352
 김민수,5,5,5,1,2,0,0,1,5,2,0,0,0,1,0,0,0,0.400,0.400,1.000,1.400,18,1.86,-0.90,0.345
 정해영,4,4,4,3,3,1,0,0,4,1,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,12,2.20,1.92,0.208
 이민호,4,4,4,1,3,1,0,1,7,2,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,14,0.54,2.31,0.158
 오원석,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.62,0.91,0.143
 벤자민,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,1.16,1.41,0.114
 소형준,5,5,5,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,17,1.26,2.41,0.106
 이영하,2,2,1,2,1,1,0,0,2,0,0,1,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.97,1.07,0.106
 스파크맨,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.59,0.55,0.070
 한승혁,4,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,18,1.47,0.27,0.066
 로니,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.31,0.53,0.046
 이용찬,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.41,0.11,0.043
 이태양,4,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,15,1.25,0.46,0.037
 장지훈,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,1.06,-0.87,0.035
 박신지,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.79,0.53,0.034
 이영준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.32,0.11,0.031
 최준용,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.02,0.78,0.030
 나균안,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.66,0.41,0.026
 이준영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.66,0.41,0.024
