Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이용찬,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,3.65,1.23,0.304
 엄상백,4,4,3,1,1,0,0,1,4,2,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,21,1.01,1.57,0.258
 정찬헌,5,5,5,1,2,0,0,1,5,2,0,0,0,1,0,0,0,0.400,0.400,1.000,1.400,16,1.08,2.09,0.245
 김도현,3,3,3,2,2,0,0,2,8,3,0,0,0,1,0,0,0,0.667,0.667,2.667,3.334,10,0.78,2.18,0.244
 곽빈,4,4,4,2,2,0,0,2,8,3,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,15,1.04,2.20,0.212
 김윤수,4,4,3,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,15,1.21,2.03,0.201
 장필준,3,3,3,2,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,6,1.44,1.03,0.148
 송명기,5,5,4,1,2,0,0,0,2,1,1,0,0,1,0,0,0,0.500,0.600,0.500,1.100,20,0.75,1.06,0.139
 한승혁,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.50,1.12,0.106
 김재열,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.01,0.84,0.101
 이채호,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,1.38,1.40,0.098
 김유영,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,1.25,1.51,0.089
 양창섭,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,1.00,0.54,0.085
 김동혁,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.91,0.41,0.077
 윤대경,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.90,0.90,0.075
 박세웅,6,6,5,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,20,1.15,0.51,0.072
 강윤구,4,4,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,18,0.79,0.08,0.071
 박신지,3,3,3,2,2,1,0,1,6,2,0,0,0,1,0,0,0,0.667,0.667,2.000,2.667,11,1.10,1.59,0.070
 김재영,2,2,2,2,2,1,0,0,3,4,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,7,0.40,3.26,0.056
 강재민,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,1.10,0.13,0.046
 배제성,3,3,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,13,0.57,0.16,0.045
 남지민,2,2,2,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,6,1.27,2.13,0.043
 서준원,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,10,0.87,0.86,0.039
 진해수,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.36,1.26,0.032
 김종수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.83,0.41,0.032
 양현종,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,11,0.32,0.61,0.031
 루친스키,6,6,5,1,2,0,0,1,5,3,1,0,0,2,0,0,0,0.400,0.500,1.000,1.500,22,0.77,1.67,0.031
 허윤동,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.90,0.24,0.028
 데스파이네,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,7,1.22,0.00,0.026
 안우진,6,6,5,0,1,0,0,0,1,1,1,0,0,3,0,0,0,0.200,0.333,0.200,0.533,24,1.01,0.18,0.025
 이용준,2,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,6,0.75,0.19,0.022
 이준영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.13,0.25,0.021
 애플러,2,2,1,0,1,1,0,0,2,1,1,0,1,0,0,0,0,1.000,1.000,2.000,3.000,6,0.11,1.10,0.018
 이상민,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,9,0.20,0.31,0.015
 켈리,4,4,4,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0.250,0.250,0.250,0.500,13,0.94,-0.10,0.007
 장민재,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.46,-0.30,0.005
 문성현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.36,0.25,0.004
 문경찬,2,2,2,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,4,0.07,1.20,0.003
 이영준,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.16,-0.05,0.002
 박세웅,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.02,0.29,0.001
 김지용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.84,0.000
 송후섭,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.30,0.000
 박동수,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,12,0.01,1.00,0.000
