Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 임창민,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,2.22,1.50,0.331
 서준원,5,5,5,3,3,2,0,0,5,4,0,0,0,0,0,0,0,0.600,0.600,1.000,1.600,16,1.13,2.22,0.221
 윤중현,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,2.55,0.75,0.214
 김원중,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,8,4.63,1.00,0.190
 류진욱,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,1.55,2.30,0.149
 이승호,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,2.72,0.83,0.135
 원태인,6,6,5,2,2,1,0,0,3,1,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,27,0.97,1.29,0.101
 최원태,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,2.57,1.00,0.099
 고영표,7,7,6,1,2,1,0,0,3,1,0,1,0,0,0,0,0,0.333,0.429,0.500,0.929,27,1.17,1.37,0.093
 정우영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,3.04,0.41,0.080
 박세웅,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,17,0.93,0.66,0.078
 송명기,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,1.03,0.75,0.078
 양현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.91,0.41,0.077
 한현희,5,5,5,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,14,0.74,0.67,0.072
 김재윤,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.19,1.00,0.067
 정철원,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.45,0.41,0.067
 이재학,2,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.84,0.66,0.065
 백정현,5,5,4,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,25,1.11,0.54,0.065
 양창섭,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,11,0.82,0.67,0.059
 라미레즈,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.08,0.64,0.056
