Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김원중,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,7,0.83,-0.63,0.459
 임기영,10,10,10,3,4,2,0,1,9,3,0,0,0,3,0,0,0,0.400,0.400,0.900,1.300,32,1.00,2.42,0.307
 이의리,9,9,7,1,2,0,1,1,7,3,2,0,0,1,0,0,0,0.286,0.444,1.000,1.444,39,1.20,2.64,0.273
 김시훈,3,3,3,1,3,1,0,1,7,2,0,0,0,0,0,0,0,1.000,1.000,2.333,3.333,9,0.83,2.96,0.259
 김진성,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,1.98,0.50,0.257
 이영준,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,4.02,0.83,0.249
 소형준,11,11,11,3,6,1,0,0,7,2,0,0,0,3,0,0,0,0.545,0.545,0.636,1.181,37,0.99,1.59,0.222
 장필준,4,3,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.333,0.333,0.333,0.666,14,2.15,1.11,0.210
 조현우,2,2,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,5,1.37,1.52,0.188
 백정현,9,9,7,4,3,0,0,2,9,2,0,2,0,1,0,0,0,0.429,0.556,1.286,1.842,38,0.71,1.88,0.183
 배제성,3,3,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,14,1.02,1.83,0.179
 김유영,3,3,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,11,1.36,0.94,0.175
 윤산흠,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.41,0.84,0.162
 이인복,9,9,9,2,4,0,0,1,7,1,0,0,0,0,0,0,0,0.444,0.444,0.778,1.222,23,0.67,1.82,0.145
 남지민,5,5,3,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0.667,0.800,0.667,1.467,13,0.71,1.55,0.115
 이영하,6,6,3,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0.000,0.500,0.000,0.500,35,0.96,1.44,0.103
 스탁,4,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.750,0.000,0.750,29,0.92,1.14,0.099
 플럿코,9,9,6,2,2,0,0,0,2,0,3,0,0,3,0,0,0,0.333,0.556,0.333,0.889,41,0.77,0.97,0.086
 주현상,4,4,4,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0.250,0.250,0.500,0.750,20,0.37,1.08,0.075
 라미레즈,5,5,4,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,17,0.79,0.74,0.073
 놀린,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,0.92,0.64,0.072
 최하늘,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.75,0.40,0.071
 임준형,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,1.42,0.35,0.071
 김태훈,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,13,0.96,0.20,0.053
 장민재,8,8,5,1,1,0,0,0,1,1,3,0,0,1,0,0,0,0.200,0.500,0.200,0.700,41,0.84,0.64,0.053
