Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 원태인,6,6,6,1,4,1,0,1,8,3,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,19,1.34,2.68,0.353
 홍건희,2,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,9,1.30,2.79,0.265
 윤명준,1,1,1,1,1,0,1,0,3,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1,5.19,1.72,0.262
 임찬규,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,0.97,1.63,0.211
 정우영,4,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,17,1.83,0.37,0.186
 켈리,6,6,5,0,4,0,0,0,4,0,1,0,0,1,0,0,0,0.800,0.833,0.800,1.633,26,0.78,1.56,0.171
 이재익,2,2,2,2,2,0,0,2,8,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.69,3.19,0.148
 장현식,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.72,1.00,0.133
 곽빈,8,8,6,1,1,0,0,1,4,2,1,1,0,1,0,0,0,0.167,0.375,0.667,1.042,35,0.95,0.92,0.130
 홍상삼,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.85,1.14,0.112
 백정현,5,5,4,0,2,0,0,0,2,2,0,0,0,1,0,0,1,0.500,0.400,0.500,0.900,16,1.03,0.54,0.099
 김민우,3,3,3,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,11,1.05,0.93,0.083
 주현상,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.55,1.10,0.083
