Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 장현식,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,4.51,1.50,0.484
 최민준,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,2.60,2.59,0.470
 윤대경,9,9,9,1,4,0,0,1,7,4,0,0,0,1,0,0,0,0.444,0.444,0.778,1.222,29,1.43,2.17,0.325
 배제성,11,11,10,3,4,2,0,0,6,1,1,0,0,1,0,0,0,0.400,0.455,0.600,1.055,45,1.08,1.94,0.217
 김재영,1,1,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,3.98,1.97,0.212
 백정현,3,3,3,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,7,0.94,1.94,0.198
 뷰캐넌,6,6,5,0,3,1,0,0,4,1,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,23,1.17,2.37,0.185
 양창섭,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,0.72,1.89,0.169
 우규민,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.09,0.75,0.149
 전상현,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.99,1.39,0.148
 플럿코,6,6,5,2,4,0,0,1,7,2,1,0,0,0,0,0,0,0.800,0.833,1.400,2.233,22,0.49,2.69,0.146
 임준형,5,5,4,1,1,0,0,1,4,3,1,0,0,1,0,0,0,0.250,0.400,1.000,1.400,21,1.04,0.85,0.139
 김재웅,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,3.53,1.00,0.133
 김택형,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,3.58,0.91,0.122
 정해영,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.50,0.57,0.121
 소형준,5,5,4,2,2,0,0,1,5,2,0,1,0,0,0,0,0,0.500,0.600,1.250,1.850,16,1.02,1.24,0.117
 스탁,6,6,6,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.167,0.167,0.667,0.834,18,0.63,0.48,0.112
 곽빈,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,0.67,1.00,0.110
 하영민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,3.19,0.72,0.104
 이승호,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,11,1.37,0.40,0.087
 박시영,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,15,1.21,0.18,0.082
 고효준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.75,0.78,0.065
 이재학,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,10,1.16,0.36,0.060
 임찬규,4,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.000,0.500,0.000,0.500,15,1.21,0.43,0.055
 최원태,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.78,0.66,0.053
 최동환,3,3,2,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,10,1.04,2.30,0.044
 김진성,3,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000,0.333,0.000,0.333,8,2.18,0.40,0.044
 김윤수,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.79,0.11,0.040
 김윤식,5,5,5,0,2,2,0,0,4,0,0,0,0,2,0,0,0,0.400,0.400,0.800,1.200,18,0.78,0.17,0.035
 김민우,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3,1.23,0.36,0.034
 양현,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,0.94,0.47,0.033
 장시환,4,4,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,24,0.33,0.08,0.031
 박민호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.38,0.11,0.029
 서진용,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,1.52,-0.02,0.026
 김시훈,3,3,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,9,0.71,0.21,0.025
 구창모,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,0.57,0.23,0.018
 신재영,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.13,1.00,0.018
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.47,0.41,0.013
 장재영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.21,0.29,0.012
 함덕주,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,2,0.80,-0.10,0.010
 김강률,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,3.26,-0.35,0.008
 장지훈,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,3,0.18,0.47,0.008
 이재민,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.21,0.41,0.008
 한승주,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.11,1.51,0.008
