Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 임기영,9,9,8,4,5,0,0,3,14,8,1,0,0,0,1,0,0,0.625,0.667,1.750,2.417,30,0.98,5.60,0.503
 김진욱,3,3,3,2,2,0,0,1,5,3,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,14,1.41,2.42,0.353
 반즈,9,9,9,1,3,1,0,0,4,3,0,0,0,0,0,0,0,0.333,0.333,0.444,0.777,34,1.18,1.68,0.228
 브랜든,6,6,4,2,2,0,0,1,5,2,2,0,0,0,0,0,0,0.500,0.667,1.250,1.917,24,0.87,2.87,0.222
 원태인,7,7,7,2,4,1,0,0,5,3,0,0,0,3,0,0,0,0.571,0.571,0.714,1.285,30,1.29,2.30,0.220
 윤호솔,4,4,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,22,2.70,1.31,0.219
 임창민,5,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,14,1.24,0.86,0.196
 문성현,4,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.250,0.250,0.500,0.750,10,2.64,0.11,0.175
 놀린,9,9,7,1,3,0,0,0,3,0,1,1,0,1,0,0,0,0.429,0.556,0.429,0.985,35,0.86,2.10,0.164
 박상원,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,5.07,1.00,0.161
 정철원,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,1.90,1.59,0.158
 임찬규,6,6,5,1,1,0,0,1,4,2,1,0,0,1,0,0,0,0.200,0.333,0.800,1.133,22,1.07,2.12,0.155
 서동민,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,1.39,0.56,0.153
 이민우,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.79,0.50,0.145
 폰트,6,6,5,1,2,0,1,0,4,2,1,0,0,2,0,0,0,0.400,0.500,0.800,1.300,38,0.86,2.06,0.141
 양현종,8,7,4,1,2,1,0,0,3,1,3,0,0,0,0,1,0,0.500,0.714,0.750,1.464,28,1.17,1.20,0.132
 나균안,5,5,5,0,3,2,0,0,5,1,0,0,0,1,0,0,0,0.600,0.600,1.000,1.600,13,0.58,1.40,0.131
 서진용,2,2,1,1,1,0,1,0,3,1,0,1,0,0,0,0,0,1.000,1.000,3.000,4.000,2,1.73,1.88,0.123
 더모디,4,4,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,22,0.93,1.49,0.119
 박세웅,10,10,9,3,3,0,0,0,3,0,1,0,0,2,0,0,0,0.333,0.400,0.333,0.733,36,0.92,0.74,0.113
 켈리,6,6,6,1,2,0,0,1,5,1,0,0,0,2,0,0,0,0.333,0.333,0.833,1.166,22,1.43,0.25,0.100
 김종수,3,3,3,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,15,1.08,0.49,0.096
 박신지,3,3,3,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,15,0.84,1.45,0.095
 김윤수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,9,2.56,0.72,0.094
 이민호,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.96,1.45,0.072
 최하늘,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,1.23,0.15,0.069
 손주영,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,0.95,0.97,0.062
 강재민,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.98,0.40,0.062
 한현희,6,6,6,1,3,1,0,0,4,2,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,17,0.97,1.55,0.061
 김시훈,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,0.91,0.24,0.057
 임대한,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,4.46,0.53,0.057
 우규민,6,6,6,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,23,1.85,0.86,0.053
 장현식,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,12,0.68,-0.03,0.047
 김영규,2,2,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,8,1.39,0.29,0.047
