Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 유영찬,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,4.60,1.42,0.447
 배제성,9,9,8,3,5,0,0,0,5,3,1,0,0,0,0,0,0,0.625,0.667,0.625,1.292,27,1.20,3.52,0.378
 슐서,5,5,5,1,4,2,0,1,9,4,0,0,0,0,0,0,0,0.800,0.800,1.800,2.600,12,1.01,4.09,0.367
 윤명준,2,2,2,1,2,0,0,1,5,5,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,5,2.39,3.01,0.363
 김도규,2,2,2,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,9,2.66,-0.64,0.356
 페냐,11,11,10,3,6,0,0,2,12,3,1,0,0,1,0,0,0,0.600,0.636,1.200,1.836,44,0.99,3.55,0.306
 구창모,3,3,2,2,1,0,0,1,4,3,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,10,1.27,2.45,0.303
 플럿코,12,12,11,0,5,1,0,0,6,2,1,0,0,0,0,0,0,0.455,0.500,0.545,1.045,49,0.96,3.30,0.294
 윤중현,2,2,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,7,3.77,-1.79,0.280
 산체스,8,8,8,2,4,1,0,0,5,3,0,0,0,0,0,0,0,0.500,0.500,0.625,1.125,36,1.06,3.29,0.239
 노경은,4,4,4,1,2,0,0,1,5,2,0,0,0,2,0,0,0,0.500,0.500,1.250,1.750,18,1.44,1.30,0.191
 최원준,2,2,2,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,6,0.82,1.54,0.164
 이재학,8,8,7,0,4,0,0,0,4,1,1,0,0,0,0,0,0,0.571,0.625,0.571,1.196,27,0.88,1.78,0.157
 엄상백,9,9,9,2,4,0,0,1,7,2,0,0,0,1,0,0,0,0.444,0.444,0.778,1.222,33,1.11,1.32,0.131
 장시환,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.75,0.80,0.128
 와이드너,3,3,3,2,3,0,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.95,1.98,0.123
 이명종,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,9,1.79,0.51,0.121
 최승용,10,10,9,2,3,1,0,1,7,2,1,0,0,2,1,0,0,0.333,0.400,0.778,1.178,43,1.21,1.41,0.118
 이지강,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,10,0.91,0.74,0.113
 주권,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,6,0.46,0.69,0.105
 최영환,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.98,0.88,0.100
 오원석,9,9,7,1,1,0,0,1,4,1,2,0,0,0,0,0,0,0.143,0.333,0.571,0.904,39,1.16,0.29,0.098
 황동하,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,1.05,0.61,0.098
 장재영,3,3,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,18,1.38,0.91,0.089
 서진용,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.50,0.42,0.075
 이상영,2,2,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.94,0.84,0.070
 김강률,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.54,0.42,0.059
 신정락,4,4,3,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.333,0.500,1.333,1.833,14,1.90,1.05,0.055
 이정용,6,6,6,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,20,1.76,-0.49,0.053
 조성훈,2,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.66,0.83,0.052
 페디,3,3,2,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,10,0.77,0.60,0.050
 류진욱,7,7,5,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0.200,0.286,0.200,0.486,24,0.67,-0.05,0.046
 안우진,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,14,0.51,0.88,0.041
 김재웅,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,13,1.66,-0.08,0.040
 진승현,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.57,1.37,0.038
 윤영철,9,9,8,1,2,0,0,0,2,1,1,0,0,1,0,0,0,0.250,0.333,0.250,0.583,39,1.17,-0.46,0.038
 임기영,5,5,4,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,19,0.74,0.83,0.036
 김진호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.47,0.27,0.034
 장원준,5,5,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,20,1.18,0.16,0.033
 엘리아스,6,6,4,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0.250,0.333,0.250,0.583,19,1.32,1.18,0.030
 김유신,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.30,1.00,0.026
 태너,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.63,0.25,0.019
 김성진,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,0.14,0.51,0.019
 박신지,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.58,0.32,0.018
 정철원,4,3,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.500,0.000,0.500,11,1.04,0.19,0.018
 이태양,5,5,5,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,15,0.87,0.06,0.016
 박정수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.33,0.42,0.015
 박준표,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.40,0.42,0.015
 심창민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.40,0.42,0.015
 배민서,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.16,1.12,0.012
 김상수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.24,0.26,0.012
 벤자민,9,9,9,2,3,1,0,1,7,3,0,0,0,1,1,0,0,0.333,0.333,0.778,1.111,31,1.01,-0.04,0.010
 김재열,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.38,0.15,0.007
 김광현,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.71,0.13,0.007
 홍건희,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,17,1.08,-0.68,0.007
 맥카티,4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,16,0.87,-0.19,0.005
