Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이정용,2,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,10,2.95,3.06,0.681
 엄상백,5,4,4,2,2,0,1,0,4,1,0,0,0,0,0,1,0,0.500,0.500,1.000,1.500,24,1.17,2.52,0.185
 최원준,6,6,6,1,2,1,0,0,3,1,0,0,0,2,0,0,0,0.333,0.333,0.500,0.833,31,1.32,1.29,0.172
 켈리,12,12,10,2,4,0,0,0,4,3,1,0,0,1,0,0,1,0.400,0.417,0.400,0.817,49,1.31,1.85,0.163
 임기영,5,5,4,1,1,0,1,0,3,2,1,0,0,0,0,0,0,0.250,0.400,0.750,1.150,21,0.88,1.79,0.153
 강효종,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,0.73,1.06,0.142
 장민재,5,5,3,1,1,0,0,0,1,1,2,0,0,1,0,0,0,0.333,0.600,0.333,0.933,26,0.95,1.26,0.114
 원태인,12,12,11,0,4,2,0,0,6,2,1,0,0,2,0,0,0,0.364,0.417,0.545,0.962,41,1.09,2.08,0.102
 임찬규,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,1.35,0.71,0.093
 최동환,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,1.23,0.36,0.072
 이의리,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,13,0.94,0.72,0.069
 정우영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.45,0.42,0.067
 박치국,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,1.63,0.32,0.058
 주권,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,0.38,0.80,0.046
 이용준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.62,0.73,0.043
 오승환,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,0.88,0.76,0.043
 이준호,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.43,0.50,0.029
 김광현,3,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,14,0.71,0.37,0.027
 백승건,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,3,0.17,0.90,0.026
 유영찬,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,6,1.76,-0.03,0.025
 벤자민,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,15,1.09,0.27,0.025
