Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 페냐,6,6,5,2,4,0,0,1,7,2,0,1,0,0,0,0,0,0.800,0.833,1.400,2.233,20,0.92,3.18,0.317
 박영현,5,4,3,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0.333,0.500,0.333,0.833,20,2.33,0.56,0.264
 켈리,12,11,9,2,3,2,0,0,5,1,2,0,0,2,0,1,0,0.333,0.455,0.556,1.011,36,1.33,2.04,0.215
 안우진,11,11,10,1,5,1,0,0,6,0,1,0,0,2,0,0,0,0.500,0.545,0.600,1.145,42,1.04,1.41,0.140
 김시훈,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,1.15,0.93,0.131
 김태훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,4.30,0.69,0.126
 박신지,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.84,2.04,0.120
 김선기,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,1.45,1.00,0.112
 양현,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.57,0.73,0.108
 김대유,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,11,1.37,1.16,0.092
 한승주,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,10,1.44,-0.12,0.090
 최원태,7,7,6,1,2,1,0,0,3,2,1,0,0,2,1,0,0,0.333,0.429,0.500,0.929,22,1.17,0.99,0.090
 박세진,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.32,1.19,0.085
 이상동,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.26,0.42,0.074
