Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정해영,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,6,2.30,-0.60,0.353
 임창민,5,5,5,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,18,2.39,-0.70,0.334
 윤영철,9,9,8,1,4,1,0,0,5,2,1,0,0,0,0,0,0,0.500,0.556,0.625,1.181,38,1.02,2.45,0.201
 장현식,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,7,1.41,-0.28,0.163
 김태훈,3,3,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,17,1.43,1.34,0.159
 요키시,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,8,1.11,1.57,0.153
 스트레일리,3,3,3,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,11,1.65,2.28,0.146
 장시환,4,4,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,18,0.58,1.25,0.141
 파노니,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.47,1.12,0.134
 이태양,3,3,3,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,8,0.96,1.91,0.130
 최준용,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,10,1.09,1.25,0.119
 최성영,5,5,3,1,1,1,0,0,2,1,2,0,0,0,0,0,0,0.333,0.600,0.667,1.267,18,1.11,1.02,0.115
 쿠에바스,6,6,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,20,0.98,0.78,0.114
 정철원,3,3,2,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,22,1.63,1.79,0.112
 이재학,4,4,4,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,21,1.00,0.66,0.092
 배제성,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,1.11,1.10,0.092
 이영하,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.90,0.78,0.083
 반즈,6,6,5,2,2,1,0,0,3,0,1,0,0,1,0,0,0,0.400,0.500,0.600,1.100,18,0.83,0.59,0.075
 고우석,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,2.26,0.42,0.074
 백승현,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.05,0.95,0.068
 노건우,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.85,1.00,0.067
 켈리,4,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.250,0.250,0.500,0.750,12,1.02,0.36,0.059
 문동주,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.50,0.46,0.057
 산체스,2,2,2,2,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,7,0.55,0.93,0.053
 최채흥,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,12,1.42,0.45,0.053
 태너,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,0.95,0.62,0.049
 홍건희,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,1.62,0.04,0.045
 이승호,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.06,0.25,0.043
 페냐,5,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.250,0.250,0.250,0.500,23,1.49,1.05,0.041
 김서현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.15,0.26,0.040
 한재승,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.98,0.26,0.036
 주현상,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,0.500,1.000,7,0.57,-0.09,0.032
 전상현,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,2.06,0.20,0.032
 수아레즈,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,7,1.01,0.28,0.031
 장원준,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,0.35,0.90,0.023
 양창섭,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.44,0.07,0.022
 이준영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.49,0.42,0.022
 김상수,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,2.32,-0.13,0.019
 이충호,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.15,1.19,0.019
 양현,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,13,0.63,-1.31,0.015
 한승주,3,3,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,10,0.27,1.50,0.015
 백정현,5,5,5,2,2,2,0,0,4,0,0,0,0,2,0,0,0,0.400,0.400,0.800,1.200,14,1.00,0.28,0.014
 뷰캐넌,5,5,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,20,1.19,0.15,0.012
 김민,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.07,-0.22,0.006
 이용준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.16,0.42,0.006
 김영현,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,0.05,0.47,0.005
 박정수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.11,0.42,0.004
 김윤식,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.79,0.10,0.004
 김유성,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.21,0.46,0.003
