Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김도규,2,2,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1.000,0.500,2.000,2.500,11,3.38,0.60,0.258
 벤자민,3,3,3,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,19,0.70,2.30,0.212
 쿠에바스,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.31,0.66,0.105
 김진성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1,2.83,0.68,0.105
 플럿코,5,5,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,20,0.86,0.29,0.101
 이정용,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,5,0.51,1.17,0.069
 김기중,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,13,0.94,0.62,0.039
 석상호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.98,0.42,0.037
 이채호,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.62,0.32,0.034
 윤대경,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.24,0.73,0.015
 전용주,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.64,0.27,0.015
 이진하,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.68,0.23,0.007
 김정우,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.07,0.45,0.003
 장민재,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.07,1.91,0.003
 후라도,3,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,12,1.07,0.21,0.002
 하준영,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,0.02,0.58,0.001
 전사민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.01,0.26,0.000
 손주영,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,0.02,0.43,0.000
 김준형,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.01,0.69,0.000
 조민석,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.10,0.000
 윤정현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.00,0.42,0.000
 최동환,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.26,0.000
 박준표,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.28,0.000
 이형범,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.04,-0.16,-0.001
 남지민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.50,-0.001
 페디,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.05,-0.26,-0.001
 문경찬,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.06,-0.17,-0.002
 강건,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.21,-0.41,-0.005
 박승주,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.23,-0.26,-0.006
 한승주,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.26,-0.10,-0.007
 윤명준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.29,-0.26,-0.008
 김범수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.31,-0.38,-0.009
