Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김태훈,3,2,2,0,1,1,0,0,2,3,0,0,0,0,0,1,0,0.500,0.500,1.000,1.500,7,3.12,2.07,0.392
 문승원,4,4,4,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.250,0.250,1.000,1.250,11,0.86,0.97,0.102
 최승용,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.89,0.68,0.072
 박명근,2,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.66,1.86,0.064
 김강률,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,13,1.62,0.58,0.063
 백정현,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,12,1.53,0.83,0.061
 신민혁,4,4,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,0.87,0.23,0.061
 김시훈,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.68,1.00,0.048
 정철원,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.03,1.01,0.041
 이태양,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,10,0.17,0.77,0.037
 김동주,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.82,0.42,0.033
 이승현,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,1.02,0.10,0.030
 임창민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.56,0.12,0.030
 임찬규,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,9,0.72,0.48,0.027
 박정수,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1.000,,,1,0.68,1.00,0.027
 서진용,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,0.78,0.02,0.024
 박종훈,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,0.41,0.63,0.024
 김대우,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.85,0.23,0.022
 윤중현,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,0.67,1.00,0.022
 김명신,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.35,0.69,0.016
 산체스,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.97,0.16,0.016
 전상현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.36,0.23,0.016
 남지민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.38,0.35,0.015
 조민석,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.21,1.12,0.014
 이준호,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.30,0.42,0.011
 김성진,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.39,0.45,0.011
 이정용,5,5,5,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,19,0.89,0.26,0.008
 김재영,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.05,1.71,0.005
 백승건,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.16,0.83,0.003
 장지수,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.04,0.77,0.001
 최이준,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,0.01,1.89,0.000
 김건희,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.00,1.00,0.000
 장현식,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.01,0.31,0.000
 하준영,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.01,0.01,0.000
 서상준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.00,0.46,0.000
 윤대경,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.37,0.000
 류원석,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.26,0.000
 한승혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.12,-0.41,-0.003
 브랜든,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.11,-0.26,-0.003
 고효준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.15,-0.21,-0.004
