Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김광현,4,4,4,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,15,0.95,0.23,0.070
 켈리,3,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,0.96,0.46,0.057
 구승민,2,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.56,0.53,0.039
 하준호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.11,0.42,0.004
 오상원,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.03,0.20,0.002
 벤자민,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.46,0.35,0.000
 오석주,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.10,0.000
 김원중,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.10,0.000
 정우람,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.26,0.000
 임준섭,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.94,0.000
 신민혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.26,0.000
 이로운,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.26,0.000
 김시훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.02,-0.26,-0.001
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.02,-0.17,-0.001
 한현희,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.02,-0.10,-0.001
 최원태,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,8,0.04,0.39,-0.001
 김유신,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.02,-0.37,-0.001
 김민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.02,-0.26,-0.001
 최이준,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,12,0.02,-0.27,-0.001
 윤대경,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.03,-0.54,-0.001
 최민준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.32,-0.32,-0.008
 최준용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.45,-0.37,-0.013
 김범수,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,2,3.44,-0.19,-0.024
 박상원,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.80,-0.17,-0.045
 반즈,8,8,8,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0.375,0.375,0.375,0.750,28,0.80,-0.79,-0.045
 산체스,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,7,1.49,-0.51,-0.054
 정우영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,3.27,-0.36,-0.075
 주현상,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,2.86,-0.65,-0.085
 이지강,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,12,1.96,-0.98,-0.101
 김재윤,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,3.26,-0.62,-0.146
 엘리아스,6,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000,0.000,0.000,0.000,32,1.25,-1.74,-0.201
