Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김범수,5,5,5,1,4,2,0,0,6,1,0,0,0,0,0,0,0,0.800,0.800,1.200,2.000,13,2.08,3.37,0.580
 김원중,3,3,3,2,2,2,0,0,4,0,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,13,2.73,0.98,0.225
 김민,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,1.79,1.44,0.172
 문동주,3,3,3,1,2,0,0,1,5,2,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,14,1.64,1.51,0.161
 최민준,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,1.92,0.56,0.137
 장시환,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.82,0.25,0.130
 김진성,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.99,0.79,0.127
 김규연,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,4.68,0.45,0.126
 산체스,6,6,5,1,2,0,0,0,2,1,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,21,1.30,1.31,0.119
 정우영,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,3.44,0.68,0.117
 심재민,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.38,0.89,0.105
 배제성,3,3,2,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,17,0.94,1.28,0.102
 와이드너,3,3,2,1,2,1,0,0,3,1,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,9,0.51,1.44,0.094
 백정현,6,6,6,2,4,0,0,0,4,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,16,0.65,0.99,0.093
 이인복,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,1.30,0.91,0.090
 윌커슨,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,14,1.15,0.78,0.087
 남지민,6,6,3,2,2,1,0,0,3,1,0,2,0,0,0,0,1,0.667,0.667,1.000,1.667,20,1.19,1.09,0.079
 신민혁,6,6,6,1,2,0,0,1,5,2,0,0,0,1,1,0,0,0.333,0.333,0.833,1.166,22,0.89,0.44,0.078
 최지광,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.92,0.45,0.073
 원태인,6,6,5,0,3,0,0,0,3,1,0,0,0,1,0,0,1,0.600,0.500,0.600,1.100,24,0.72,0.53,0.071
 노경은,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.32,0.27,0.070
 정우람,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.67,0.52,0.061
 임찬규,6,6,6,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,18,1.11,-0.48,0.057
 백승현,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,10,0.53,0.99,0.055
 박세웅,8,8,7,2,3,0,0,0,3,1,1,0,0,1,0,0,0,0.429,0.500,0.429,0.929,34,1.19,1.03,0.055
 임정호,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,7,1.54,-0.31,0.048
 맥카티,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,0.88,0.30,0.044
 이의리,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,13,0.32,0.91,0.038
 이태양,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.50,0.38,0.036
 한승혁,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.38,0.45,0.033
 임준섭,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.37,1.17,0.023
 한현희,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,0.54,0.26,0.021
 켈리,5,5,4,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0.500,0.600,0.500,1.100,20,0.70,0.63,0.020
 황동하,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.51,0.27,0.017
 김기훈,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.20,1.58,0.016
 김창훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.40,0.42,0.015
 최승용,3,3,3,1,2,0,1,0,4,0,0,0,0,0,1,0,0,0.667,0.667,1.333,2.000,8,1.29,0.32,0.011
 최이준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.25,0.68,0.009
 김태훈,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.19,1.00,0.009
 하준호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.16,0.26,0.006
 김광현,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,7,0.78,-0.05,0.005
 구승민,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,12,2.38,0.36,0.004
 이정용,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,0.61,0.07,0.003
 노건우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.06,0.27,0.001
 이상영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.01,0.42,0.000
 박준표,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.00,0.27,0.000
 박준영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.21,0.000
 김재열,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.54,0.000
