Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박상원,2,2,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,5,5.04,0.84,0.421
 이병헌,3,3,2,0,2,0,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,3.28,2.14,0.336
 메디나,4,4,1,2,1,0,0,1,4,2,3,0,0,0,0,0,0,1.000,1.000,4.000,5.000,25,1.02,2.69,0.259
 강재민,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,15,1.64,1.32,0.240
 알칸타라,9,9,8,0,4,0,0,0,4,2,1,0,0,2,0,0,0,0.500,0.556,0.500,1.056,42,1.17,1.41,0.216
 김동혁,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,2.25,1.00,0.216
 벤자민,6,6,5,0,2,0,0,0,2,2,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,24,1.28,1.93,0.168
 수아레즈,9,9,7,1,2,1,0,0,3,2,2,0,0,1,0,0,0,0.286,0.444,0.429,0.873,40,1.20,1.69,0.157
 원태인,9,9,8,2,2,0,0,1,5,3,1,0,0,1,0,0,0,0.250,0.333,0.625,0.958,36,1.30,1.63,0.150
 이형범,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.16,1.59,0.129
 이용찬,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.89,0.77,0.120
 김대유,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,2.54,0.32,0.094
 강효종,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,1.40,0.67,0.084
 김범수,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.90,1.58,0.076
 이승현,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,27,1.71,-0.17,0.070
 유영찬,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.97,1.05,0.070
 양창섭,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.06,1.00,0.066
 오원석,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,7,0.84,0.73,0.064
 임찬규,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.38,0.42,0.059
 장민재,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,1.34,0.51,0.059
 최지민,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.69,0.58,0.047
 백정현,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,10,1.15,0.54,0.041
 함덕주,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,1.39,-0.23,0.034
 이용준,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.69,0.32,0.026
 장시환,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.68,0.26,0.024
 브랜든,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,1.11,0.33,0.023
 오승환,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.40,0.26,0.022
 전상현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.40,0.26,0.018
 최원태,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,0.80,-0.03,0.014
 김태훈,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.18,1.00,0.009
 고효준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.21,0.42,0.008
 백승건,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.12,0.73,0.007
 윤대경,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.44,0.41,0.004
 하영민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.12,0.12,0.003
 이선우,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.04,0.38,0.003
 엘리아스,3,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,19,0.64,0.03,0.003
 신헌민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.02,-0.32,0.000
 이채호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.03,-0.32,-0.001
 김태오,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.04,-0.48,-0.001
