Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정해영,3,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,7,2.93,0.66,0.343
 산체스,5,5,4,2,4,1,0,1,8,4,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,17,0.63,3.99,0.212
 플럿코,8,8,8,2,4,1,0,0,5,2,0,0,0,1,0,0,0,0.500,0.500,0.625,1.125,29,1.58,1.53,0.192
 이영하,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.41,1.11,0.170
 노경은,7,6,5,0,2,0,0,0,2,1,2,0,1,0,0,0,0,0.400,0.571,0.400,0.971,16,2.04,1.15,0.158
 홍건희,5,5,4,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,19,1.04,0.81,0.151
 고영표,5,5,5,2,5,0,0,0,5,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,16,0.87,1.72,0.149
 고우석,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,1.61,1.63,0.148
 박종훈,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,,1.000,,,15,1.92,1.42,0.128
 김동혁,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.80,1.28,0.112
 주현상,3,3,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.69,1.59,0.104
 박신지,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,2.78,0.15,0.091
 하영민,2,2,2,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.86,1.24,0.091
 이정용,9,9,9,3,4,1,0,0,5,1,0,0,0,0,0,0,0,0.444,0.444,0.556,1.000,45,1.06,1.22,0.085
 이상동,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.70,1.29,0.080
 나균안,9,8,8,1,4,0,0,0,4,1,0,0,0,3,0,1,0,0.500,0.500,0.500,1.000,30,1.08,0.78,0.079
 강재민,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,1.38,0.43,0.078
 이우찬,3,3,3,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,11,0.61,0.46,0.077
