Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김명신,3,3,2,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,17,2.32,2.45,0.306
 반즈,11,11,9,2,4,0,0,0,4,2,2,0,0,1,0,0,0,0.444,0.545,0.444,0.989,40,1.14,2.95,0.279
 이용찬,4,4,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,9,2.07,0.72,0.267
 김동주,5,5,4,1,1,1,0,0,2,3,1,0,0,0,0,0,0,0.250,0.400,0.500,0.900,21,1.62,1.73,0.250
 이상동,3,3,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,16,2.23,1.70,0.242
 김상수,3,3,3,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,13,1.02,1.09,0.220
 우규민,3,3,3,2,3,0,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.33,1.64,0.215
 최민준,5,5,3,1,2,0,1,0,4,1,2,0,0,0,0,0,0,0.667,0.800,1.333,2.133,33,1.11,2.30,0.212
 알칸타라,9,9,9,2,3,1,0,0,4,2,0,0,0,1,0,0,0,0.333,0.333,0.444,0.777,32,1.28,0.42,0.194
 주권,6,6,5,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0.600,0.667,0.600,1.267,21,1.03,1.40,0.183
 이승현,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,1.94,1.02,0.179
 김강률,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,2.85,0.20,0.177
 송명기,5,5,2,1,2,0,0,0,2,0,3,0,0,0,0,0,0,1.000,1.000,1.000,2.000,18,1.02,2.04,0.158
 쿠에바스,7,7,7,2,3,0,0,0,3,3,0,0,0,0,0,0,0,0.429,0.429,0.429,0.858,26,1.15,0.46,0.138
 김원중,2,2,2,1,2,0,0,0,2,3,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.80,1.26,0.127
 김도규,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,2.10,0.65,0.126
 장시환,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.98,0.87,0.121
 구승민,4,3,2,1,1,1,0,0,2,0,1,0,0,0,0,1,0,0.500,0.667,1.000,1.667,11,1.33,0.55,0.109
 장현식,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.16,0.80,0.095
 김성진,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,1.38,-0.16,0.092
 한현희,9,9,8,0,3,1,0,0,4,1,0,1,0,0,0,0,0,0.375,0.444,0.500,0.944,26,0.87,1.22,0.092
 김서현,3,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,19,0.77,0.95,0.084
 소형준,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.86,0.82,0.084
 전상현,4,4,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,10,1.67,0.42,0.082
 김태훈,2,2,2,2,2,1,0,1,6,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,5,0.56,2.44,0.081
 곽빈,11,11,6,2,1,0,0,0,1,0,5,0,0,0,0,0,0,0.167,0.545,0.167,0.712,48,1.17,1.69,0.080
 김대유,2,2,2,1,2,0,1,0,4,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,0.68,2.32,0.077
 이승호,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.26,0.42,0.074
 이준영,5,5,4,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0.500,0.600,0.500,1.100,18,1.21,0.37,0.067
 이승현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.81,0.42,0.064
 고영표,6,6,5,2,2,1,0,0,3,1,0,1,0,0,0,0,0,0.400,0.500,0.600,1.100,22,0.90,0.49,0.062
