Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정우람,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.83,0.42,0.092
 김광현,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,1.10,0.58,0.047
 최민준,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.49,0.48,0.032
 윤명준,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,5,1.37,0.17,0.030
 김범수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.38,0.12,0.029
 최이준,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.39,1.22,0.028
 서진용,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.34,0.42,0.018
 김재열,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.45,0.42,0.017
 이의리,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,7,0.73,0.01,0.009
 유영찬,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.03,0.26,0.002
 김유신,2,2,1,2,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,10,0.02,1.41,0.001
 이병헌,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,3,0.01,-0.33,0.000
 김승현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.41,0.000
 최동환,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.17,0.000
 김규연,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.01,-0.65,0.000
 김동혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.10,0.000
 윤대경,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.02,0.90,-0.001
 김재윤,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.04,-0.10,-0.001
 김원중,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.16,-0.21,-0.005
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.39,-0.32,-0.010
 반즈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.51,-0.17,-0.013
 이상동,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.50,-0.32,-0.013
 김진성,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.83,-0.32,-0.020
 강재민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.42,-0.32,-0.035
 한현희,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,2.24,-0.63,-0.066
 오승환,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,1.44,-0.58,-0.073
 정해영,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,2.73,-0.19,-0.085
 박상원,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,4.37,-0.48,-0.112
