Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이영하,4,3,2,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0.500,0.667,0.500,1.167,13,2.20,-0.88,0.381
 장시환,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,3.33,1.71,0.352
 문승원,4,4,3,3,3,0,0,1,6,2,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,13,1.04,2.64,0.247
 김건국,3,3,3,3,3,0,1,0,5,0,0,0,0,0,0,0,0,1.000,1.000,1.667,2.667,9,0.94,2.36,0.206
 양현종,10,10,9,1,2,0,0,0,2,3,1,0,0,0,0,0,0,0.222,0.300,0.222,0.522,36,1.16,-0.95,0.181
 김광현,10,10,9,2,2,0,0,1,5,2,1,0,0,1,0,0,0,0.222,0.300,0.556,0.856,41,0.88,0.97,0.181
 장원준,2,1,1,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,2,1.23,1.99,0.166
 전사민,3,2,2,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,6,2.89,0.76,0.153
 오승환,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.66,0.56,0.141
 장현식,3,3,2,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,15,1.28,1.01,0.136
 구창모,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,13,1.57,1.25,0.124
 김동주,7,7,6,2,1,0,0,1,4,1,0,1,0,0,0,0,0,0.167,0.286,0.667,0.953,32,0.97,0.84,0.120
 윤명준,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,1.62,0.99,0.114
 주권,4,4,4,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,13,0.85,1.30,0.112
 박치국,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.89,1.54,0.110
 이용준,2,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,9,1.29,0.90,0.104
 임준섭,5,5,5,3,5,0,0,0,5,3,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,27,0.48,2.31,0.103
 한현희,5,5,4,2,1,0,0,1,4,1,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,26,0.89,0.57,0.097
 최원준,3,3,2,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,10,1.22,1.16,0.096
 안우진,3,2,2,1,1,0,1,0,3,3,0,0,0,0,0,1,0,0.500,0.500,1.500,2.000,10,1.73,1.56,0.095
 김기중,3,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1.000,1.000,1.000,2.000,12,1.16,0.64,0.094
 김태훈,4,3,3,2,2,0,0,0,2,1,0,0,0,1,0,1,0,0.667,0.667,0.667,1.334,17,1.31,0.49,0.091
 김시훈,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,1.71,0.35,0.091
 이상동,5,5,4,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,23,0.75,0.80,0.090
 고효준,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,2.14,0.67,0.085
 박영현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.45,0.42,0.067
 김원중,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,10,4.65,0.34,0.066
 김민수,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.81,0.42,0.064
 페냐,10,10,10,1,2,0,0,0,2,2,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,48,1.05,0.21,0.062
 강재민,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,16,2.13,0.73,0.061
 이재익,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.80,0.45,0.061
 김명신,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,12,0.49,-0.12,0.059
 소형준,2,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.10,1.11,0.056
 김성진,4,3,3,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0.333,0.333,0.333,0.666,16,0.91,0.03,0.053
 김영규,6,6,6,1,3,0,0,0,3,1,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,19,0.84,0.84,0.053
 하준영,4,4,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,13,1.05,0.95,0.051
 김진호,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.07,0.42,0.049
 수아레즈,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,1.60,0.23,0.047
 태너,5,5,5,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,24,0.67,0.24,0.039
 임정호,6,6,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,21,0.58,0.77,0.039
 양창섭,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.46,0.74,0.037
 브랜든,5,4,4,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0.250,0.250,0.250,0.500,16,0.92,2.44,0.033
 손동현,4,4,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,20,1.37,0.51,0.032
 임기영,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.32,0.62,0.030
 주현상,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,13,1.29,-0.24,0.030
 슐서,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,0.55,0.06,0.028
 한승혁,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.82,0.43,0.027
 메디나,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.68,0.05,0.023
 페디,5,5,4,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,20,1.02,-0.14,0.022
 조이현,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.23,1.11,0.022
 김영현,3,3,3,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,11,0.26,0.29,0.021
