Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정철원,3,3,3,1,2,2,0,0,4,2,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,6,2.94,1.73,0.468
 이용찬,3,3,3,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,2.59,0.73,0.355
 이승현,3,3,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,19,1.17,1.23,0.231
 박명근,3,3,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,2.39,0.91,0.211
 박상원,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,2.32,0.73,0.172
 류진욱,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,1.53,1.06,0.158
 원태인,6,6,6,2,3,1,0,0,4,1,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,26,1.08,1.10,0.152
 백정현,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,6,5.28,1.00,0.139
 뷰캐넌,3,3,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,21,1.77,1.23,0.132
 김동주,4,4,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,15,1.08,1.67,0.126
 임찬규,4,4,2,2,1,1,0,0,2,2,1,0,0,0,0,0,1,0.500,0.500,1.000,1.500,8,1.25,0.96,0.125
 스트레일리,4,4,3,1,2,0,0,0,2,2,1,0,0,1,0,0,0,0.667,0.750,0.667,1.417,14,1.38,1.80,0.116
 김선기,3,3,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1.000,1.000,1.000,2.000,17,1.03,1.25,0.111
 최채흥,3,3,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,15,1.99,0.70,0.108
 켈리,7,7,7,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0.571,0.571,0.714,1.285,18,0.85,1.19,0.099
 윤명준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.32,0.42,0.082
 임기영,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.000,0.333,0.000,0.333,11,2.62,0.45,0.078
 맥키니,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,1.03,0.81,0.076
 황동재,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.91,1.10,0.069
 김태훈,2,2,1,2,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.39,0.98,0.068
 유영찬,5,5,5,1,2,1,0,1,6,2,0,0,0,1,0,0,0,0.400,0.400,1.200,1.600,20,0.85,1.54,0.067
 홍정우,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,1.31,0.88,0.066
 곽빈,3,3,3,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,7,0.66,0.83,0.065
 양창섭,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.57,0.04,0.062
 정우영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.10,0.25,0.060
 고우석,3,3,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,11,3.78,0.97,0.058
 남지민,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.77,0.73,0.054
 최원준,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.61,0.84,0.054
 박치국,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,0.48,0.18,0.053
 이태양,4,4,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,20,0.73,0.92,0.053
 김재열,2,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.000,0.500,1.000,1.500,4,1.60,0.37,0.052
 최동환,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.66,0.01,0.039
 문승원,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,17,0.90,0.30,0.033
 정해영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.56,0.12,0.030
 이승현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.74,0.27,0.027
 김원중,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,3.06,-1.14,0.027
 황동하,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.65,0.26,0.026
 최원태,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.90,0.27,0.022
 김규연,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,14,0.43,0.62,0.021
 플럿코,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,12,0.84,0.03,0.021
 이호성,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.79,0.25,0.021
 이인복,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,0.80,0.07,0.017
 양현종,9,9,8,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0.250,0.333,0.250,0.583,43,1.01,-0.06,0.016
 함덕주,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.65,-0.15,0.009
 이로운,6,6,6,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,20,0.13,0.63,0.008
 정구범,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.63,0.04,0.008
 임정호,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.21,0.42,0.008
 김시훈,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.78,-0.05,0.003
 김승현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.08,0.46,0.001
 정우람,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,11,0.05,0.24,0.001
 채지선,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.08,0.37,0.001
 한재승,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.03,0.12,0.001
 하준영,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.01,1.00,0.001
 김유신,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.03,0.46,0.000
 이형범,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.00,0.12,0.000
 정성종,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.01,-0.17,0.000
 박윤철,2,2,2,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.02,1.92,0.000
 이충호,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.02,-0.10,0.000
 신헌민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.05,-0.17,-0.001
 백승건,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.05,-0.26,-0.001
 노건우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,0.06,-0.17,-0.002
 김대우,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.41,0.32,-0.002
 윤영철,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.41,-0.05,-0.003
 진승현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.15,-0.26,-0.004
 오승환,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,0.32,-0.05,-0.004
 박종훈,4,4,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0.500,0.750,0.500,1.250,11,0.32,0.39,-0.004
 윤대경,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.16,-0.37,-0.005
 임창민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.18,-0.10,-0.005
 오석주,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.20,-0.41,-0.005
 최민준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.22,-0.10,-0.006
 장민재,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.23,-0.17,-0.006
 김태현,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.11,-0.98,-0.006
 하영민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.25,-0.10,-0.007
 김도규,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.50,-0.45,-0.007
 신정락,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.30,-0.26,-0.008
 오원석,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,1.07,-0.29,-0.008
 박정수,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.28,-0.30,-0.009
 조영건,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.36,-0.26,-0.009
 강효종,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,1.25,-0.14,-0.011
 장현식,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.21,-0.36,-0.011
 김성진,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.47,-0.10,-0.012
 이영하,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.25,-0.51,-0.013
 윤석원,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.27,-0.48,-0.013
 김상수,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,6,1.20,-0.28,-0.019
 이재익,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.85,-0.41,-0.020
 이정용,5,5,5,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,19,1.27,0.42,-0.021
 한승주,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,0.42,-0.27,-0.021
 김명신,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.83,-0.26,-0.021
 김범수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.73,-0.21,-0.021
 백승현,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.86,-0.37,-0.024
 문성현,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.47,-0.80,-0.024
 송명기,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,20,0.96,-0.26,-0.024
 구승민,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,15,1.56,-0.19,-0.025
 장시환,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,14,0.93,0.94,-0.027
 이명종,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,0.87,-0.15,-0.027
 윤중현,6,5,5,1,2,0,0,0,2,0,1,0,1,1,0,0,0,0.400,0.500,0.400,0.900,14,0.79,-0.10,-0.029
 태너,3,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,14,0.97,-0.25,-0.030
 이건욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.16,-0.38,-0.033
 문동주,3,3,3,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0.333,0.333,0.667,1.000,8,0.95,-0.66,-0.036
 박세웅,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,8,1.05,-0.54,-0.036
 브랜든,5,5,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,21,0.66,-0.45,-0.036
 페디,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.69,-0.47,-0.037
 김윤식,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.72,-0.36,-0.037
 엘리아스,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,22,1.26,-0.49,-0.039
