Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 최영환,1,1,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,1.99,2.43,0.135
 반즈,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.30,0.94,0.118
 하준영,1,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,9,0.80,1.01,0.078
 강재민,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.44,0.45,0.067
 김도규,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,1.80,0.83,0.061
 정해영,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,3.29,0.15,0.060
 문성현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.25,0.26,0.049
 양창섭,2,2,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,6,0.62,0.42,0.043
 소형준,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,10,0.78,0.47,0.042
 문승원,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.80,0.32,0.038
 하영민,2,2,2,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0.500,0.500,1.500,2.000,3,0.20,0.23,0.038
 윤대경,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.21,0.28,0.024
 벤자민,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,0.91,0.33,0.024
 김기중,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.60,0.42,0.023
 한승혁,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.79,0.45,0.023
 한승주,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.29,0.73,0.022
 알칸타라,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,1.17,0.63,0.021
 이용준,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,1.10,0.10,0.018
 박세웅,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.88,0.13,0.017
 김태현,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,0.13,0.53,0.010
 김명신,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.12,0.83,0.009
 남지민,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,0.64,0.27,0.007
 김성진,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.08,0.73,0.005
 홍건희,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.08,0.26,0.005
 최채흥,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.09,0.45,0.004
 김범수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.11,0.26,0.004
 장재영,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,,0.000,,,6,1.40,-0.32,0.003
 곽빈,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,8,0.58,-0.15,0.002
 조이현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.43,0.09,0.002
