Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 임기영,4,4,2,1,1,0,0,1,4,3,2,0,0,0,0,0,0,0.500,0.750,2.000,2.750,14,1.66,2.65,0.617
 김원중,2,2,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,2.83,1.41,0.427
 최준용,5,5,4,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,19,2.37,1.56,0.353
 나균안,3,3,3,0,1,1,0,0,2,2,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,19,1.46,1.43,0.233
 장현식,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,1.000,,,11,2.85,1.23,0.185
 윌커슨,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,7,1.51,1.23,0.137
 한승혁,4,4,3,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0.667,0.500,0.667,1.167,7,1.16,1.03,0.125
 알칸타라,8,8,8,0,3,1,0,0,4,1,0,0,0,2,0,0,0,0.375,0.375,0.500,0.875,36,0.76,1.00,0.124
 이승현,2,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,9,0.94,0.60,0.121
 임정호,3,3,2,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,15,1.23,1.62,0.120
 노건우,3,3,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,18,0.88,2.26,0.118
 남지민,6,5,4,1,1,1,0,0,2,1,1,0,1,1,0,0,1,0.250,0.333,0.500,0.833,14,1.61,0.70,0.104
 강재민,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,1.32,0.73,0.093
 이지강,4,4,2,2,1,1,0,0,2,1,2,0,0,0,0,0,0,0.500,0.750,1.000,1.750,13,1.22,1.46,0.091
 최지민,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,2.68,0.35,0.087
 한현희,4,4,3,2,2,0,0,0,2,1,0,0,0,0,0,0,1,0.667,0.500,0.667,1.167,14,1.79,0.52,0.080
 주현상,7,7,6,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0.167,0.286,0.333,0.619,26,1.39,0.82,0.080
 수아레즈,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,15,0.90,0.72,0.080
 백승현,4,4,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,16,1.15,-0.49,0.079
 황동재,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,12,0.60,0.58,0.076
 김동주,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,12,1.07,0.86,0.075
 이로운,2,2,1,1,1,0,0,1,4,3,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,8,1.03,2.52,0.075
 황동하,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,10,0.65,0.67,0.070
