Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 배제성,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,3.88,-0.94,0.183
 이의리,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.84,0.84,0.157
 이영준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,4.62,0.69,0.135
 조성훈,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.29,1.11,0.103
 김도규,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.83,0.69,0.086
 하영민,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,1.66,0.68,0.076
 윤대경,3,3,2,1,2,0,0,1,5,1,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,14,0.46,1.75,0.057
 손동현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.06,0.26,0.046
 이채호,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,1.64,0.43,0.039
 윤명준,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.58,0.12,0.038
 심재민,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,1.71,0.32,0.038
 이준영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.75,0.45,0.029
 벤자민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.62,0.26,0.024
 이진하,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.38,0.48,0.024
 문동주,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.39,0.32,0.015
 이로운,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.29,0.68,0.013
 김진욱,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.32,0.26,0.012
 송명기,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.39,0.12,0.011
 김기중,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,16,0.54,0.15,0.011
 신정락,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.48,0.31,0.009
 문성현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.16,0.45,0.008
 문승원,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.14,0.27,0.006
 손주영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.04,0.87,0.003
 남지민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.01,0.84,0.001
 윤정현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.21,0.000
 김대현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.26,0.000
 강건,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.09,-0.37,-0.003
 김재윤,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.18,-0.10,-0.005
 임기영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.19,-0.32,-0.005
 주현상,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.10,-0.51,-0.005
 김범수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.22,-0.10,-0.006
 켈리,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,3,0.55,0.12,-0.007
 이건욱,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.20,-0.83,-0.008
 김영현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.31,-0.10,-0.008
 이용찬,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,3,0.99,-0.19,-0.008
 페디,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.42,-0.10,-0.011
 김원중,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.50,-0.17,-0.013
 류진욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.53,-0.10,-0.014
 주권,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.66,-0.36,-0.016
 이태양,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.75,-0.26,-0.019
 박치국,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.78,-0.10,-0.020
 정해영,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.93,-0.41,-0.021
 알칸타라,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.90,-0.26,-0.023
 엘리아스,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.80,-0.06,-0.024
 김동주,3,3,3,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,12,0.91,-0.31,-0.025
