Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 알칸타라,10,10,10,4,5,1,0,2,12,5,0,0,0,1,0,0,0,0.500,0.500,1.200,1.700,32,0.86,3.75,0.456
 오승환,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,7,1.40,-0.64,0.388
 임정호,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,1.64,1.26,0.346
 후라도,12,12,11,2,5,1,0,0,6,0,1,0,0,1,0,0,0,0.455,0.500,0.545,1.045,45,0.88,3.84,0.332
 페냐,14,14,12,3,7,1,0,0,8,4,1,0,0,0,0,0,1,0.583,0.571,0.667,1.238,40,1.26,3.80,0.323
 김광현,10,10,10,2,6,0,0,1,9,3,0,0,0,1,0,0,0,0.600,0.600,0.900,1.500,39,1.13,2.90,0.317
 메디나,3,3,3,1,2,1,0,1,6,3,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,10,1.01,2.64,0.268
 노경은,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,17,1.89,1.52,0.267
 홍정우,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,8,2.36,1.58,0.261
 박세웅,12,12,12,2,5,0,0,1,8,4,0,0,0,1,0,0,0,0.417,0.417,0.667,1.084,32,1.31,1.75,0.255
 최성영,9,9,8,3,3,2,0,1,8,2,1,0,0,1,0,0,0,0.375,0.444,1.000,1.444,36,1.02,1.91,0.252
 김기훈,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.83,-1.16,0.246
 백정현,9,9,8,3,4,0,0,2,10,3,1,0,0,1,0,0,0,0.500,0.556,1.250,1.806,42,0.94,2.24,0.226
 맥키니,6,6,4,2,1,0,0,1,4,2,2,0,0,1,0,0,0,0.250,0.500,1.000,1.500,23,0.78,2.07,0.216
 맥카티,6,6,6,2,4,1,1,0,7,2,0,0,0,1,0,0,0,0.667,0.667,1.167,1.834,19,1.10,2.19,0.171
 송영진,8,8,6,2,2,0,0,1,5,3,2,0,0,0,0,0,0,0.333,0.500,0.833,1.333,26,0.92,1.91,0.153
 정철원,5,5,5,1,3,0,0,0,3,1,0,0,0,1,0,0,0,0.600,0.600,0.600,1.200,18,2.53,0.78,0.146
 임준섭,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,9,0.70,0.91,0.144
 이상민,2,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,4,1.27,1.45,0.137
 요키시,3,3,3,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,5,0.69,1.32,0.126
 뷰캐넌,10,10,8,2,3,1,0,0,4,0,2,0,0,0,1,0,0,0.375,0.500,0.500,1.000,37,1.17,1.18,0.124
 하영민,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.62,0.72,0.123
 구승민,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,5,2.10,1.41,0.118
 이태양,3,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,5,0.71,1.01,0.108
